##NAMES=Grossular
##RRUFFID=R060442
##IDEAL CHEMISTRY=Ca_3_Al_2_(SiO_4_)_3_
##LOCALITY=Pakistan(?)
##OWNER=RRUFF
##SOURCE=Gemological Institute of America
##DESCRIPTION=Orange crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060442
##MEASURED CHEMISTRY=(Ca_2.85_Fe^2+^_0.15_)_Σ=3_(Al_1.85_Fe^3+^_0.15_)_Σ=2_(Si_1.00_O_4_)_3_; trace amounts of Ti, Mg
353.2020, 104.3229
353.6841, 107.2342
354.1663, 110.2066
354.6484, 113.0833
355.1305, 116.1138
355.6126, 119.4439
356.0947, 123.0814
356.5768, 126.9331
357.0590, 130.9846
357.5411, 135.2242
358.0232, 139.3560
358.5053, 143.0788
358.9874, 147.0383
359.4695, 151.4216
359.9517, 156.2180
360.4338, 161.3412
360.9159, 166.6832
361.3980, 172.3532
361.8801, 178.8577
362.3622, 186.4783
362.8444, 194.2657
363.3265, 201.5552
363.8086, 208.9695
364.2907, 217.2773
364.7728, 226.8238
365.2549, 236.8803
365.7371, 246.5942
366.2192, 255.9900
366.7013, 265.1732
367.1834, 274.1857
367.6655, 282.9544
368.1476, 291.1093
368.6298, 298.7571
369.1119, 306.9054
369.5940, 316.5412
370.0761, 327.3673
370.5582, 337.9990
371.0403, 348.6336
371.5225, 358.4562
372.0046, 367.7372
372.4867, 375.9213
372.9688, 381.6113
373.4509, 385.0722
373.9330, 385.2323
374.4152, 380.1286
374.8973, 369.5403
375.3794, 355.6417
375.8615, 338.4800
376.3436, 318.9555
376.8257, 298.1728
377.3079, 275.5094
377.7900, 253.2899
378.2721, 232.5942
378.7542, 213.5760
379.2363, 197.0551
379.7184, 183.4921
380.2006, 172.0637
380.6827, 161.8670
381.1648, 152.8649
381.6469, 144.5424
382.1290, 136.5361
382.6111, 129.1556
383.0933, 122.9776
383.5754, 118.0691
384.0575, 113.8235
384.5396, 109.8238
385.0217, 106.0971
385.5038, 102.5020
385.9860, 98.80680
386.4681, 95.46934
386.9502, 92.95632
387.4323, 91.08781
387.9144, 89.17540
388.3965, 86.86036
388.8787, 84.37221
389.3608, 82.35220
389.8429, 80.93980
390.3250, 79.56912
390.8071, 78.02092
391.2892, 76.49784
391.7714, 75.22317
392.2535, 74.25191
392.7356, 73.56033
393.2177, 73.18343
393.6998, 73.24033
394.1819, 72.99039
394.6641, 72.07259
395.1462, 71.19793
395.6283, 70.83718
396.1104, 70.88053
396.5925, 70.92608
397.0746, 70.70730
397.5568, 70.28181
398.0389, 69.96349
398.5210, 69.85886
399.0031, 69.73936
399.4852, 69.69677
399.9673, 69.57451
400.4495, 69.05174
400.9316, 68.07620
401.4137, 67.12240
401.8958, 66.96487
402.3779, 67.96809
402.8600, 68.79385
403.3422, 69.69105
403.8243, 70.22585
404.3064, 69.92361
404.7885, 69.01798
405.2706, 68.19476
405.7527, 67.99212
406.2349, 68.33359
406.7170, 68.63723
407.1991, 68.95177
407.6812, 69.14355
408.1633, 69.02876
408.6454, 68.85317
409.1276, 68.86768
409.6097, 69.16166
410.0918, 69.69809
410.5739, 70.50054
411.0560, 71.64213
411.5381, 72.64816
412.0203, 73.56384
412.5024, 74.20223
412.9845, 74.37901
413.4666, 74.14341
413.9487, 73.75089
414.4308, 73.46305
414.9130, 73.17049
415.3951, 72.45763
415.8772, 71.29408
416.3593, 69.77703
416.8414, 67.71729
417.3235, 65.40667
417.8057, 63.16740
418.2878, 60.93786
418.7699, 59.08120
419.2520, 58.15791
419.7341, 58.06306
420.2162, 57.78325
420.6984, 57.00386
421.1805, 55.92582
421.6626, 54.66402
422.1447, 53.18916
422.6268, 52.14599
423.1089, 52.10034
423.5911, 52.47202
424.0732, 52.45481
424.5553, 51.96091
425.0374, 51.34393
425.5195, 50.80236
426.0016, 50.36896
426.4838, 50.15139
426.9659, 50.40785
427.4480, 50.60149
427.9301, 50.46399
428.4122, 50.08867
428.8943, 49.61540
429.3765, 49.07383
429.8586, 48.61866
430.3407, 48.54725
430.8228, 49.15481
431.3049, 49.50849
431.7870, 49.46443
432.2692, 49.26698
432.7513, 48.99302
433.2334, 48.71102
433.7155, 48.59895
434.1976, 48.84232
434.6797, 49.39668
435.1619, 49.60759
435.6440, 48.98831
436.1261, 48.58098
436.6082, 48.68616
437.0903, 49.03636
437.5724, 49.35330
438.0546, 49.53008
438.5367, 49.57415
439.0188, 49.45369
439.5009, 49.06276
439.9830, 48.85089
440.4651, 49.04377
440.9473, 49.22530
441.4294, 49.19597
441.9115, 48.99052
442.3936, 48.74070
442.8757, 48.50568
443.3578, 48.30908
443.8400, 48.26382
444.3221, 48.45022
444.8042, 48.58704
445.2863, 48.36429
445.7684, 48.15607
446.2505, 48.43191
446.7327, 49.32381
447.2148, 50.15031
447.6969, 50.18137
448.1790, 49.57177
448.6611, 49.20229
449.1432, 49.27946
449.6254, 49.47329
450.1075, 49.52657
450.5896, 49.46882
451.0717, 49.37252
451.5538, 49.09122
452.0359, 48.89863
452.5181, 49.15150
453.0002, 49.78749
453.4823, 50.38576
453.9644, 50.78742
454.4465, 50.99946
454.9286, 50.98148
455.4108, 50.62960
455.8929, 50.40345
456.3750, 50.52869
456.8571, 50.76603
457.3392, 50.83377
457.8214, 50.70268
458.3035, 50.55621
458.7856, 50.56196
459.2677, 50.72237
459.7498, 50.82384
460.2319, 50.85771
460.7141, 50.85376
461.1962, 50.77348
461.6783, 50.67524
462.1604, 50.66980
462.6425, 50.79391
463.1246, 50.93028
463.6068, 50.85115
464.0889, 50.40831
464.5710, 50.14695
465.0531, 50.23664
465.5352, 50.33899
466.0173, 50.22210
466.4995, 49.97723
466.9816, 49.87282
467.4637, 50.10674
467.9458, 50.57879
468.4279, 50.96440
468.9100, 51.21840
469.3922, 51.50731
469.8743, 51.92330
470.3564, 52.37008
470.8385, 52.77849
471.3206, 53.13735
471.8027, 53.45450
472.2849, 53.58779
472.7670, 53.66224
473.2491, 54.26980
473.7312, 55.67879
474.2133, 56.99335
474.6954, 57.39262
475.1776, 57.21982
475.6597, 57.26031
476.1418, 57.89628
476.6239, 58.45518
477.1060, 58.44771
477.5881, 57.98368
478.0703, 57.38424
478.5524, 56.76162
479.0345, 56.02430
479.5166, 54.96761
479.9987, 53.43934
480.4808, 52.32502
480.9630, 51.93472
481.4451, 51.75695
481.9272, 51.49895
482.4093, 51.15065
482.8914, 50.78515
483.3735, 50.44202
483.8557, 50.12057
484.3378, 49.81404
484.8199, 49.47742
485.3020, 49.22746
485.7841, 49.04381
486.2662, 48.95903
486.7484, 49.01751
487.2305, 49.21038
487.7126, 49.47532
488.1947, 49.76995
488.6768, 50.09139
489.1589, 50.39614
489.6411, 50.69305
490.1232, 50.95757
490.6053, 51.13665
491.0874, 51.30531
491.5695, 51.53953
492.0516, 51.85836
492.5338, 52.26307
493.0159, 52.91474
493.4980, 53.74384
493.9801, 54.01765
494.4622, 53.37276
494.9443, 52.64812
495.4265, 52.60522
495.9086, 53.03904
496.3907, 53.41144
496.8728, 53.49070
497.3549, 53.55293
497.8370, 53.84676
498.3192, 54.32249
498.8013, 54.78553
499.2834, 55.14710
499.7655, 55.50243
500.2476, 56.00438
500.7297, 56.66140
501.2119, 57.44832
501.6940, 58.51375
502.1761, 59.58570
502.6582, 60.39469
503.1403, 61.02552
503.6224, 61.78001
504.1045, 62.84072
504.5866, 64.18290
505.0688, 65.75437
505.5509, 68.05020
506.0330, 69.77864
506.5151, 70.83647
506.9972, 71.38927
507.4793, 71.49679
507.9615, 71.20722
508.4436, 70.63177
508.9257, 69.92860
509.4078, 69.01852
509.8899, 67.32929
510.3720, 64.37358
510.8542, 61.69408
511.3363, 60.04804
511.8184, 58.86092
512.3005, 57.55891
512.7827, 56.01375
513.2648, 54.62715
513.7469, 53.72871
514.2290, 53.22097
514.7111, 52.87022
515.1932, 52.69655
515.6754, 52.43506
516.1575, 51.79660
516.6396, 50.88764
517.1217, 50.22074
517.6038, 49.77829
518.0859, 49.62326
518.5681, 50.15500
519.0502, 50.89976
519.5323, 50.91923
520.0144, 49.96185
520.4965, 48.76246
520.9786, 48.21102
521.4608, 48.40818
521.9429, 48.66402
522.4250, 49.03163
522.9071, 49.39357
523.3892, 49.72512
523.8713, 50.01797
524.3535, 50.26570
524.8356, 50.46418
525.3177, 50.61476
525.7998, 50.68303
526.2819, 50.62331
526.7640, 50.71175
527.2462, 51.08089
527.7283, 51.48405
528.2104, 51.79879
528.6925, 52.05494
529.1746, 52.31927
529.6567, 52.58149
530.1389, 52.92616
530.6210, 53.47718
531.1031, 54.22801
531.5852, 55.10228
532.0673, 56.18800
532.5494, 57.21804
533.0316, 57.71870
533.5137, 57.72685
533.9958, 58.05208
534.4779, 59.04128
534.9600, 60.25193
535.4421, 61.37729
535.9243, 62.42821
536.4064, 63.49146
536.8885, 64.58335
537.3706, 65.80336
537.8527, 67.34371
538.3348, 69.28692
538.8170, 71.45749
539.2991, 73.81469
539.7812, 76.40449
540.2633, 79.24218
540.7454, 82.34966
541.2275, 85.80025
541.7097, 89.64988
542.1918, 93.83395
542.6739, 98.16386
543.1560, 102.6115
543.6381, 107.3746
544.1202, 113.0913
544.6024, 118.6209
545.0845, 123.6268
545.5666, 127.9223
546.0487, 130.7292
546.5308, 131.5805
547.0129, 130.7544
547.4951, 128.7192
547.9772, 125.4679
548.4593, 120.5496
548.9414, 113.3523
549.4235, 104.9183
549.9056, 96.97389
550.3878, 89.43961
550.8699, 82.62988
551.3520, 76.64690
551.8341, 71.44142
552.3162, 67.01252
552.7983, 63.33040
553.2805, 60.39172
553.7626, 58.22088
554.2447, 56.62044
554.7268, 54.99746
555.2089, 53.17196
555.6910, 51.66443
556.1732, 50.52738
556.6553, 49.62719
557.1374, 49.00783
557.6195, 48.55736
558.1016, 47.97515
558.5837, 46.97881
559.0659, 45.85917
559.5480, 45.38958
560.0301, 45.69748
560.5122, 45.89701
560.9943, 45.61936
561.4764, 45.25798
561.9586, 45.26731
562.4407, 45.61579
562.9228, 45.80230
563.4049, 45.50297
563.8870, 45.04841
564.3691, 44.75838
564.8513, 44.63081
565.3334, 44.61621
565.8155, 44.72010
566.2976, 44.84303
566.7797, 44.78958
567.2618, 44.46212
567.7440, 44.17322
568.2261, 43.90907
568.7082, 43.69765
569.1903, 43.52672
569.6724, 43.42368
570.1545, 43.47550
570.6367, 43.74027
571.1188, 44.07589
571.6009, 44.15680
572.0830, 43.90501
572.5651, 43.69633
573.0472, 43.56929
573.5294, 43.49840
574.0115, 43.46251
574.4936, 43.46933
574.9757, 43.56207
575.4578, 43.87767
575.9399, 44.12373
576.4221, 43.84108
576.9042, 43.13704
577.3863, 42.62590
577.8684, 42.49707
578.3505, 42.57800
578.8326, 42.75371
579.3148, 43.04057
579.7969, 43.01030
580.2790, 42.29916
580.7611, 41.63605
581.2432, 41.40200
581.7253, 41.44552
582.2075, 41.50710
582.6896, 41.49353
583.1717, 41.44983
583.6538, 41.44899
584.1359, 41.51091
584.6180, 41.46809
585.1002, 41.14232
585.5823, 40.92602
586.0643, 41.04203
586.5464, 41.29474
587.0286, 41.40974
587.5107, 41.30102
587.9928, 41.15676
588.4749, 41.18016
588.9570, 41.32153
589.4391, 41.40125
589.9213, 41.40959
590.4034, 41.31349
590.8855, 41.09668
591.3676, 40.74731
591.8497, 40.24964
592.3318, 39.40471
592.8140, 38.74232
593.2961, 38.59460
593.7782, 38.62260
594.2603, 38.34896
594.7424, 37.79033
595.2245, 37.44281
595.7067, 37.75672
596.1888, 38.57276
596.6709, 38.97599
597.1530, 38.82395
597.6351, 38.48765
598.1172, 37.73162
598.5994, 37.05440
599.0815, 36.91448
599.5636, 37.24616
600.0457, 37.55108
600.5278, 37.40737
601.0099, 37.10242
601.4921, 37.25142
601.9742, 37.86109
602.4563, 38.40903
602.9384, 38.71157
603.4205, 38.87700
603.9026, 39.02129
604.3848, 39.14048
604.8669, 39.31776
605.3490, 39.69541
605.8311, 40.01339
606.3132, 39.99390
606.7953, 39.80026
607.2775, 39.83905
607.7596, 40.26396
608.2417, 40.79593
608.7238, 40.98675
609.2059, 40.76222
609.6880, 40.56000
610.1702, 40.17113
610.6523, 40.06000
611.1344, 40.70171
611.6165, 41.58419
612.0986, 41.93784
612.5807, 41.51375
613.0629, 40.94715
613.5450, 40.75330
614.0271, 40.88780
614.5092, 41.29977
614.9913, 42.04044
615.4734, 42.62793
615.9556, 42.68435
616.4377, 42.37650
616.9198, 42.28523
617.4019, 42.39259
617.8840, 42.71392
618.3661, 43.47367
618.8483, 44.29243
619.3304, 44.76433
619.8125, 44.94181
620.2946, 45.19355
620.7767, 45.77522
621.2589, 46.54545
621.7410, 47.03971
622.2231, 47.08619
622.7052, 47.36753
623.1873, 48.10940
623.6694, 48.99550
624.1516, 50.00351
624.6337, 51.01457
625.1158, 51.69497
625.5979, 51.75043
626.0800, 51.65888
626.5621, 51.95402
627.0443, 52.51136
627.5264, 52.95380
628.0085, 53.21559
628.4906, 53.14124
628.9727, 52.51602
629.4548, 51.33961
629.9370, 50.23446
630.4191, 49.30750
630.9012, 48.31118
631.3833, 47.07065
631.8654, 45.79601
632.3475, 44.71119
632.8297, 43.83897
633.3118, 43.04137
633.7939, 42.21436
634.2760, 41.36334
634.7581, 40.49232
635.2402, 39.54124
635.7224, 38.81654
636.2045, 38.55873
636.6866, 38.44949
637.1687, 38.15711
637.6508, 37.68935
638.1329, 37.21489
638.6151, 36.76358
639.0972, 36.34442
639.5793, 35.96287
640.0614, 35.62151
640.5435, 35.29038
641.0256, 34.95954
641.5078, 34.76304
641.9899, 34.94057
642.4720, 35.58794
642.9541, 35.81993
643.4362, 35.28474
643.9183, 34.72482
644.4005, 34.14658
644.8826, 33.71059
645.3647, 33.68340
645.8468, 34.08271
646.3289, 34.45453
646.8110, 34.38499
647.2932, 34.01974
647.7753, 33.68343
648.2574, 33.38257
648.7395, 33.19065
649.2216, 33.17243
649.7037, 33.23992
650.1859, 33.22132
650.6680, 33.07122
651.1501, 33.04374
651.6322, 33.38229
652.1143, 33.62967
652.5964, 33.40890
653.0786, 32.92892
653.5607, 32.58254
654.0428, 32.51910
654.5249, 32.61848
655.0070, 32.76323
655.4891, 32.95952
655.9713, 33.01599
656.4534, 32.86480
656.9355, 32.70552
657.4176, 32.65572
657.8997, 32.63910
658.3818, 32.56157
658.8640, 32.40673
659.3461, 32.24601
659.8282, 32.04223
660.3103, 31.89472
660.7924, 32.00990
661.2745, 32.31132
661.7567, 32.41718
662.2388, 32.11965
662.7209, 31.68203
663.2030, 31.63309
663.6851, 32.17013
664.1672, 32.44843
664.6494, 32.22522
665.1315, 32.00341
665.6136, 31.94836
666.0957, 31.99679
666.5778, 32.07370
667.0599, 32.16217
667.5421, 32.18765
668.0242, 31.99747
668.5063, 31.71292
668.9884, 31.69589
669.4705, 31.97358
669.9526, 32.12917
670.4348, 31.89157
670.9169, 31.46258
671.3990, 31.29080
671.8811, 31.51551
672.3632, 31.66015
672.8453, 31.62777
673.3275, 31.60155
673.8096, 31.81335
674.2917, 32.06666
674.7738, 31.86529
675.2559, 31.03144
675.7380, 30.31077
676.2202, 30.96684
676.7023, 32.79017
677.1844, 33.52562
677.6665, 32.80233
678.1486, 31.97501
678.6307, 31.65532
679.1129, 31.70184
679.5950, 31.86171
680.0771, 32.18709
680.5592, 32.39827
681.0413, 32.38470
