##NAMES=Waylandite
##RRUFFID=R130361
##IDEAL CHEMISTRY=Bi^3+^Al_3_(PO_4_)_2_(OH)_6_
##LOCALITY=Ngussa, Kivu, Zaire
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale brown crystals, associated with prismatic dark brown or bluish fluor-dravite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130361
2.396914e+002, 6.862856e+002
2.401735e+002, 6.850255e+002
2.406557e+002, 6.834225e+002
2.411378e+002, 6.811038e+002
2.416199e+002, 6.784653e+002
2.421020e+002, 6.758234e+002
2.425841e+002, 6.732703e+002
2.430662e+002, 6.708334e+002
2.435484e+002, 6.684840e+002
2.440305e+002, 6.660624e+002
2.445126e+002, 6.642147e+002
2.449947e+002, 6.636415e+002
2.454768e+002, 6.634055e+002
2.459589e+002, 6.626434e+002
2.464410e+002, 6.610381e+002
2.469232e+002, 6.591131e+002
2.474053e+002, 6.576941e+002
2.478874e+002, 6.567842e+002
2.483695e+002, 6.564456e+002
2.488516e+002, 6.572572e+002
2.493337e+002, 6.582294e+002
2.498159e+002, 6.585108e+002
2.502980e+002, 6.578568e+002
2.507801e+002, 6.568094e+002
2.512622e+002, 6.562519e+002
2.517443e+002, 6.563088e+002
2.522264e+002, 6.566181e+002
2.527086e+002, 6.573340e+002
2.531907e+002, 6.581200e+002
2.536728e+002, 6.587139e+002
2.541549e+002, 6.590596e+002
2.546370e+002, 6.593251e+002
2.551191e+002, 6.597656e+002
2.556013e+002, 6.604283e+002
2.560834e+002, 6.611848e+002
2.565655e+002, 6.623940e+002
2.570476e+002, 6.634305e+002
2.575297e+002, 6.639533e+002
2.580118e+002, 6.638693e+002
2.584940e+002, 6.632311e+002
2.589761e+002, 6.620687e+002
2.594582e+002, 6.602013e+002
2.599403e+002, 6.582260e+002
2.604224e+002, 6.564741e+002
2.609045e+002, 6.543812e+002
2.613867e+002, 6.515386e+002
2.618688e+002, 6.479374e+002
2.623509e+002, 6.439208e+002
2.628330e+002, 6.398123e+002
2.633151e+002, 6.355099e+002
2.637972e+002, 6.315146e+002
2.642794e+002, 6.277606e+002
2.647615e+002, 6.243080e+002
2.652436e+002, 6.214668e+002
2.657257e+002, 6.190850e+002
2.662078e+002, 6.165215e+002
2.666899e+002, 6.130620e+002
2.671721e+002, 6.084547e+002
2.676542e+002, 6.046712e+002
2.681363e+002, 6.019697e+002
2.686184e+002, 5.996646e+002
2.691005e+002, 5.976274e+002
2.695826e+002, 5.957400e+002
2.700648e+002, 5.937386e+002
2.705469e+002, 5.913380e+002
2.710290e+002, 5.885178e+002
2.715111e+002, 5.863938e+002
2.719932e+002, 5.858954e+002
2.724753e+002, 5.850345e+002
2.729575e+002, 5.825142e+002
2.734396e+002, 5.788625e+002
2.739217e+002, 5.756653e+002
2.744038e+002, 5.740842e+002
2.748859e+002, 5.739361e+002
