##NAMES=Monazite-(Ce)
##RRUFFID=R060925
##IDEAL CHEMISTRY=CePO_4_
##LOCALITY=Siglo Veinte mine, Llallagua, Bustillos Province, Potosi Department, Bolivia
##OWNER=RRUFF
##SOURCE=Alfredo Petrov
##DESCRIPTION=Pale peach semi-transparent crystals associated with quartz
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060925
##MEASURED CHEMISTRY=(Ce_0.52_La_0.21_Nd_0.19_Y_0.06_Ca_0.01_Th_0.01_)_Σ=1_P_1.00_O_4_ ; = light phase, and dark phase = (Ce_0.49_La_0.21_Nd_0.20_Y_0.07_Ca_0.02_Th_0.02_)_Σ=1_P_1.00_O_4_
354.8719, 3924.776
355.3541, 3922.074
355.8362, 3918.417
356.3183, 3912.585
356.8004, 3904.975
357.2825, 3894.703
357.7646, 3876.869
358.2468, 3852.475
358.7289, 3835.473
359.2110, 3838.757
359.6931, 3860.822
360.1752, 3870.743
360.6573, 3859.483
361.1395, 3848.285
361.6216, 3845.993
362.1037, 3848.033
362.5858, 3846.190
363.0679, 3836.867
363.5500, 3823.087
364.0322, 3810.568
364.5143, 3793.074
364.9964, 3788.567
365.4785, 3810.074
365.9606, 3833.349
366.4427, 3840.065
366.9249, 3830.038
367.4070, 3816.881
367.8891, 3814.247
368.3712, 3822.069
368.8533, 3824.961
369.3354, 3817.596
369.8176, 3812.181
370.2997, 3815.075
370.7818, 3822.520
371.2639, 3828.364
371.7460, 3829.962
372.2281, 3828.800
372.7103, 3825.492
373.1924, 3819.390
373.6745, 3818.278
374.1566, 3828.923
374.6387, 3842.698
375.1208, 3849.906
375.6030, 3849.963
376.0851, 3845.335
376.5672, 3834.255
377.0493, 3819.969
377.5314, 3809.105
378.0135, 3803.008
378.4957, 3797.884
378.9778, 3788.259
379.4599, 3774.302
379.9420, 3771.710
380.4241, 3798.515
380.9063, 3820.423
381.3884, 3812.074
381.8705, 3782.205
382.3526, 3754.344
382.8347, 3740.535
383.3168, 3738.456
383.7990, 3741.513
384.2811, 3760.331
384.7632, 3770.195
385.2453, 3764.516
385.7274, 3753.749
386.2095, 3745.052
386.6917, 3740.425
387.1738, 3739.904
387.6559, 3745.408
388.1380, 3758.119
388.6201, 3762.044
389.1022, 3744.818
389.5844, 3732.678
390.0665, 3740.361
390.5486, 3758.625
391.0307, 3770.471
391.5128, 3767.175
391.9949, 3755.092
392.4771, 3742.297
392.9592, 3727.907
393.4413, 3720.960
393.9234, 3727.705
394.4055, 3741.251
394.8876, 3753.411
395.3698, 3763.697
395.8519, 3774.534
396.3340, 3792.883
396.8161, 3810.948
397.2982, 3810.642
397.7803, 3788.177
398.2625, 3766.016
