##NAMES=Berthierine
##RRUFFID=R110177
##IDEAL CHEMISTRY=(Fe^2+^,Fe^3+^,Al)_3_(Si,Al)_2_O_5_(OH)_4_
##LOCALITY=DeMix quarry, Mont St-Hilaire, Quebec
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Hexagonal prisms, with gray transparent terminations. We sample the terminations.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110177
449.1870, 155.9817
449.6691, 157.3549
450.1512, 158.1986
450.6333, 158.4536
451.1154, 158.2411
451.5976, 157.5787
452.0797, 156.2943
452.5618, 155.1224
453.0439, 154.0218
453.5260, 153.1935
454.0081, 153.5302
454.4903, 155.2801
454.9724, 156.5855
455.4545, 156.1403
455.9366, 154.2094
456.4187, 152.5978
456.9008, 151.3716
457.3830, 150.4640
457.8651, 149.8638
458.3472, 149.5408
458.8293, 149.4487
459.3114, 149.6681
459.7935, 150.0033
460.2757, 150.2368
460.7578, 150.3742
461.2399, 150.4589
461.7220, 150.5751
462.2041, 150.6197
462.6862, 150.4887
463.1684, 150.1578
463.6505, 149.7070
464.1326, 149.0628
464.6147, 148.3651
465.0968, 147.7839
465.5789, 147.5897
466.0611, 147.3172
466.5432, 146.7161
467.0253, 145.8354
467.5074, 145.2001
467.9895, 144.9634
468.4716, 144.9155
468.9538, 145.0253
469.4359, 145.6614
469.9180, 145.5917
470.4001, 144.3284
470.8822, 142.6913
471.3643, 141.9153
471.8465, 142.1849
472.3286, 142.8118
472.8107, 143.8105
473.2928, 145.0296
473.7749, 145.5835
474.2570, 145.3798
474.7392, 144.9692
475.2213, 144.7601
475.7034, 144.7129
476.1855, 144.5795
476.6676, 144.3546
477.1497, 143.9718
477.6319, 143.0970
478.1140, 141.9421
478.5961, 141.2136
479.0782, 141.5994
479.5603, 142.3382
480.0424, 142.5678
480.5246, 142.3284
481.0067, 141.9456
481.4888, 141.4904
481.9709, 141.0572
482.4530, 140.7264
482.9352, 140.5085
483.4173, 140.4029
483.8994, 140.4359
484.3815, 140.5735
484.8636, 140.7638
485.3457, 141.2796
485.8279, 141.5534
486.3100, 141.3063
486.7921, 140.5353
487.2742, 140.0020
487.7563, 139.8860
488.2384, 139.8242
488.7206, 139.5857
489.2027, 138.9985
489.6848, 138.7488
490.1669, 139.0220
490.6490, 139.4463
491.1311, 139.2841
491.6133, 138.3912
492.0954, 137.9576
492.5775, 138.5801
493.0596, 139.8798
493.5417, 140.4844
494.0238, 140.3887
494.5060, 139.8664
494.9881, 138.7629
495.4702, 137.4050
495.9523, 136.6522
496.4344, 136.7009
496.9165, 136.9826
497.3987, 136.8758
497.8808, 136.6000
498.3629, 136.5721
498.8450, 137.3148
499.3271, 138.0677
499.8092, 138.3022
500.2914, 138.0906
500.7735, 137.8258
501.2556, 137.5721
501.7377, 137.3789
502.2198, 137.2816
502.7019, 137.3103
503.1841, 137.3697
503.6662, 137.5402
504.1483, 137.6988
504.6304, 137.7001
505.1125, 137.4883
505.5946, 137.1949
506.0768, 136.7118
506.5589, 136.1478
507.0410, 136.1147
507.5231, 136.7952
508.0052, 137.4876
508.4873, 137.7992
508.9695, 137.7212
509.4516, 137.7063
509.9337, 137.7585
510.4158, 137.8640
510.8979, 138.0857
511.3800, 138.3719
511.8622, 138.4725
512.3443, 138.2760
512.8264, 137.9299
513.3085, 137.5472
513.7906, 137.1618
514.2728, 136.8943
514.7549, 136.7992
515.2370, 136.8616
515.7191, 137.1781
516.2012, 137.7781
516.6833, 138.1651
517.1655, 137.9218
517.6476, 137.4711
518.1297, 137.1738
518.6118, 137.1905
519.0939, 137.2597
519.5760, 137.5208
520.0582, 137.7962
520.5403, 137.6496
521.0224, 136.5413
521.5045, 135.7778
521.9866, 135.8619
522.4688, 136.7915
522.9509, 137.2000
523.4330, 136.9360
523.9151, 136.5070
524.3972, 136.3102
524.8793, 136.3518
525.3615, 136.2799
525.8436, 136.0139
526.3257, 135.7578
526.8078, 135.8916
527.2899, 136.3342
527.7720, 136.7055
528.2542, 136.8878
528.7363, 136.8887
529.2184, 136.6098
529.7005, 136.1106
530.1826, 135.7005
530.6647, 135.6686
531.1469, 135.7514
531.6290, 135.7348
532.1111, 135.5887
532.5932, 135.3535
533.0753, 135.0433
533.5574, 134.6553
534.0396, 134.1922
534.5217, 133.1550
535.0038, 132.6320
535.4859, 133.1733
535.9680, 134.3591
536.4501, 134.8278
536.9323, 134.1698
537.4144, 133.4888
537.8965, 133.1869
538.3786, 133.2722
538.8607, 133.3852
539.3428, 133.5551
539.8250, 133.6542
540.3071, 133.5338
540.7892, 133.2143
541.2713, 132.8633
541.7534, 132.4865
542.2355, 132.1416
542.7177, 131.8946
543.1998, 131.7433
543.6819, 131.6888
544.1640, 131.8192
544.6461, 131.9855
545.1282, 132.0535
545.6104, 132.0318
546.0925, 131.9776
546.5746, 132.0274
547.0567, 131.9820
547.5388, 131.6134
548.0209, 130.6911
548.5031, 130.1364
548.9852, 130.4084
549.4673, 131.0088
549.9494, 131.4201
550.4315, 131.6497
550.9136, 131.6457
551.3958, 131.2703
551.8779, 130.6874
552.3600, 130.4157
552.8421, 130.5287
553.3242, 130.6830
553.8063, 130.7025
554.2885, 130.6238
554.7706, 130.7735
555.2527, 131.1694
555.7348, 131.6092
556.2169, 131.9671
556.6990, 132.2303
557.1812, 132.3954
557.6633, 132.4866
558.1454, 132.3879
558.6275, 131.8027
559.1096, 130.9784
559.5917, 130.3379
560.0739, 130.0478
560.5560, 129.9955
561.0381, 130.2589
561.5202, 130.7537
562.0023, 131.1283
562.4844, 131.1513
562.9666, 131.1558
563.4487, 131.3465
563.9308, 131.8279
564.4129, 131.9674
564.8950, 131.5576
565.3771, 131.0299
565.8593, 130.7789
566.3414, 130.9198
566.8235, 130.8021
567.3056, 130.2738
567.7877, 129.5934
568.2698, 129.1630
568.7520, 128.9823
569.2341, 129.1119
569.7162, 129.7368
570.1983, 130.5786
570.6804, 131.0972
571.1625, 131.3392
571.6447, 131.6351
572.1268, 132.5467
572.6089, 133.4209
573.0910, 133.4823
573.5731, 132.5399
574.0552, 131.6511
574.5374, 131.2091
575.0195, 131.0857
575.5016, 131.1567
575.9837, 131.7604
576.4658, 132.1026
576.9479, 131.9334
577.4301, 131.4968
577.9122, 131.2587
578.3943, 131.2277
578.8764, 131.3840
579.3585, 131.8272
579.8406, 132.4729
580.3228, 132.7006
580.8049, 132.4681
581.2870, 132.0884
581.7691, 131.6850
582.2512, 131.2968
582.7333, 131.0963
583.2155, 131.1073
583.6975, 131.1857
584.1796, 131.0822
584.6617, 130.9827
585.1439, 131.2423
585.6260, 132.2129
586.1081, 133.1039
586.5902, 133.4244
587.0723, 133.3254
587.5544, 133.0968
588.0366, 132.4949
588.5187, 132.1031
589.0008, 132.2773
589.4829, 132.9708
589.9650, 133.2474
590.4471, 132.7881
590.9293, 132.3194
591.4114, 132.2536
591.8935, 132.6983
592.3756, 132.6606
592.8577, 131.9556
593.3398, 131.2642
593.8220, 131.5079
594.3041, 132.5280
594.7862, 133.0222
595.2683, 132.6452
595.7504, 131.9639
596.2325, 131.6326
596.7147, 131.5823
597.1968, 131.6340
597.6789, 131.6574
598.1610, 131.7975
598.6431, 132.2618
599.1252, 132.9707
599.6074, 133.5589
600.0895, 134.1164
600.5716, 134.3419
601.0537, 133.9682
601.5358, 132.7918
602.0179, 131.9156
602.5001, 131.3471
602.9822, 131.0852
603.4643, 131.2446
603.9464, 132.0677
604.4285, 132.2724
604.9106, 131.5669
605.3928, 130.6187
605.8749, 130.5783
606.3570, 131.3648
606.8391, 131.8838
607.3212, 131.6390
607.8033, 131.1609
608.2855, 131.2775
608.7676, 131.8705
609.2497, 132.5112
609.7318, 133.2168
610.2139, 133.6825
610.6960, 133.4927
611.1782, 132.6609
611.6603, 132.0227
612.1424, 131.8990
612.6245, 132.0348
613.1066, 132.3209
613.5887, 132.9634
614.0709, 133.2445
614.5530, 132.9706
615.0351, 132.5152
615.5172, 132.2413
615.9993, 132.1506
616.4814, 132.2676
616.9636, 132.6865
617.4457, 133.1778
617.9278, 133.2693
618.4099, 132.9902
618.8920, 132.6603
619.3741, 132.3881
619.8563, 132.1531
620.3384, 131.8749
620.8205, 131.5871
621.3026, 131.4635
621.7847, 131.7055
622.2668, 132.0762
622.7490, 132.4365
623.2311, 132.7832
623.7132, 133.0137
624.1953, 132.9530
624.6774, 132.8714
625.1595, 132.9778
625.6417, 133.5326
626.1238, 133.7461
626.6059, 133.4237
627.0880, 132.9764
627.5701, 133.0249
628.0522, 133.6413
628.5344, 134.0443
629.0165, 134.0048
629.4986, 133.7621
629.9807, 133.6896
630.4628, 133.8003
630.9449, 134.1611
631.4271, 135.1013
631.9092, 136.1153
632.3913, 136.5102
632.8734, 136.3977
633.3555, 136.4904
633.8376, 137.5751
634.3198, 138.6360
634.8019, 138.9559
635.2840, 138.2683
635.7661, 137.8854
636.2482, 137.9556
636.7303, 138.3545
637.2125, 139.1072
637.6946, 140.5642
638.1767, 141.2917
638.6588, 141.0342
639.1409, 140.3931
639.6230, 140.1844
640.1052, 140.3885
640.5873, 140.7411
641.0694, 141.2095
641.5515, 141.7334
642.0336, 142.1666
642.5157, 142.5646
642.9979, 143.1007
643.4800, 144.0010
643.9621, 144.9457
644.4442, 145.7486
644.9263, 146.4060
645.4084, 146.9067
645.8906, 147.1086
646.3727, 147.2674
646.8548, 147.4361
