##NAMES=Szaibelyite
##RRUFFID=R070498
##IDEAL CHEMISTRY=MgBO_2_(OH)
##LOCALITY=Stinson Beach, Marin County, California, USA
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Matted aggregates of white fibrous crystals, associated with magnetite and chromite
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R070498
262.9707, 25198.75
263.4528, 25212.71
263.9349, 25227.44
264.4171, 25243.06
264.8992, 25255.28
265.3813, 25264.20
265.8634, 25269.85
266.3455, 25270.75
266.8276, 25263.80
267.3098, 25262.34
267.7919, 25271.31
268.2740, 25289.81
268.7561, 25301.26
269.2382, 25302.07
269.7203, 25301.93
270.2025, 25309.23
270.6846, 25323.70
271.1667, 25346.38
271.6488, 25379.89
272.1309, 25422.73
272.6130, 25463.95
273.0952, 25506.63
273.5773, 25540.96
274.0594, 25552.64
274.5415, 25536.57
275.0236, 25531.78
275.5057, 25554.43
275.9879, 25596.71
276.4700, 25601.02
276.9521, 25555.37
277.4342, 25508.90
277.9163, 25511.87
278.3984, 25569.72
278.8806, 25623.25
279.3627, 25662.05
279.8448, 25687.34
280.3269, 25702.48
280.8090, 25705.41
281.2911, 25704.95
281.7733, 25709.16
282.2554, 25717.75
282.7375, 25721.79
283.2196, 25716.92
283.7017, 25706.48
284.1838, 25699.03
284.6660, 25692.82
285.1481, 25699.19
285.6302, 25735.64
286.1123, 25799.88
286.5944, 25854.59
287.0765, 25897.27
287.5587, 25923.49
288.0408, 25910.79
288.5229, 25856.71
289.0050, 25806.60
289.4871, 25798.24
289.9692, 25826.20
290.4514, 25858.21
290.9335, 25891.34
291.4156, 25923.24
291.8977, 25948.39
292.3798, 25966.96
292.8619, 25981.10
293.3441, 25989.62
293.8262, 25994.07
294.3083, 26003.96
294.7904, 26027.20
295.2726, 26043.70
295.7547, 26003.40
296.2368, 25914.74
296.7189, 25845.68
297.2010, 25852.16
297.6831, 25911.17
298.1653, 25975.19
298.6474, 26044.85
299.1295, 26100.70
299.6116, 26105.97
300.0937, 26071.16
300.5758, 26042.30
301.0580, 26053.01
