##NAMES=Tsumcorite
##RRUFFID=R100185
##IDEAL CHEMISTRY=Pb^2+^Zn^2+^_2_(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Mina Ojuela (Campo Sur), Mapimi, Durango, Mexico
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Brilliant brown wedge-shaped crystals on pulverant segnitite, associated with colorless mimetite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100185
226.5623, 30.37890
227.0444, 30.09354
227.5265, 30.33321
228.0086, 30.78635
228.4907, 31.02927
228.9729, 30.87616
229.4550, 30.49381
229.9371, 30.32033
230.4192, 30.55098
230.9013, 30.67274
231.3834, 30.44763
231.8656, 30.10190
232.3477, 30.02994
232.8298, 30.42020
233.3119, 30.99615
233.7940, 31.11277
234.2761, 30.61710
234.7583, 30.16140
235.2404, 30.00397
235.7225, 29.97751
236.2046, 29.68963
236.6867, 28.89943
237.1688, 28.08631
237.6510, 28.24295
238.1331, 29.49577
238.6152, 30.60556
239.0973, 31.09141
239.5794, 31.14706
240.0615, 31.19297
240.5437, 31.36962
241.0258, 31.50175
241.5079, 31.27206
241.9900, 30.67978
242.4721, 30.22549
242.9542, 30.30905
243.4364, 30.69315
243.9185, 30.68667
244.4006, 29.94554
244.8827, 29.18513
245.3648, 29.28101
245.8469, 30.10840
246.3290, 30.74728
246.8112, 30.52906
247.2933, 29.75592
247.7754, 29.43463
248.2575, 30.01150
248.7396, 30.49895
249.2217, 29.81047
249.7039, 28.31712
250.1860, 27.31272
250.6681, 27.99705
251.1502, 29.81405
251.6323, 30.59064
252.1144, 29.62478
252.5966, 28.59119
253.0787, 28.55927
253.5608, 29.21498
254.0429, 29.87505
254.5250, 30.31196
255.0071, 30.46107
255.4893, 29.89456
255.9714, 27.77432
256.4535, 26.34019
256.9356, 27.10055
257.4177, 29.02286
257.8998, 30.39343
258.3820, 30.10006
258.8641, 28.65917
259.3462, 27.92955
259.8283, 28.38126
260.3104, 28.80036
260.7925, 28.62336
261.2747, 28.22238
261.7568, 28.14508
262.2389, 28.74000
262.7210, 29.68397
263.2031, 29.96198
263.6852, 28.95072
264.1674, 28.34370
264.6495, 28.82265
265.1316, 29.72664
265.6137, 30.33397
266.0958, 30.32351
266.5779, 29.95962
267.0601, 29.86265
267.5422, 30.14775
268.0243, 30.51892
268.5064, 30.97479
268.9885, 31.45754
269.4706, 31.92090
269.9528, 32.34797
270.4349, 32.74094
270.9170, 33.14491
271.3991, 33.77670
271.8812, 33.94700
272.3633, 33.12096
272.8455, 32.20700
273.3276, 31.93601
273.8097, 32.46474
274.2918, 33.39837
274.7739, 34.12877
275.2560, 34.44250
275.7382, 35.02001
276.2202, 36.51078
276.7024, 37.73725
277.1845, 37.72346
277.6666, 36.47528
278.1487, 34.90676
278.6308, 34.09690
279.1129, 34.17937
279.5951, 34.62118
280.0772, 35.91387
280.5593, 37.08345
281.0414, 37.36601
281.5235, 36.92976
282.0056, 36.66545
282.4878, 37.53046
282.9699, 39.81509
283.4520, 41.12503
283.9341, 40.73506
284.4162, 40.23556
284.8983, 40.46737
285.3805, 41.16863
285.8626, 41.43157
286.3447, 40.44470
286.8268, 38.24894
287.3089, 37.18457
287.7910, 38.20415
288.2732, 39.23100
288.7553, 39.79495
289.2374, 39.93002
289.7195, 39.70095
290.2016, 39.09740
290.6837, 38.26660
291.1659, 38.04783
291.6480, 39.03325
292.1301, 39.93428
292.6122, 40.71672
293.0943, 41.24689
293.5764, 41.27422
294.0586, 40.66931
294.5407, 39.68172
295.0228, 38.98471
295.5049, 39.16318
295.9870, 38.91394
296.4691, 37.62255
296.9513, 36.12638
297.4334, 35.45840
297.9155, 35.93058
298.3976, 36.85586
298.8797, 37.08186
299.3618, 36.13789
299.8440, 35.30165
300.3261, 34.30970
300.8082, 33.58886
301.2903, 33.73617
301.7724, 34.76036
302.2545, 35.83756
302.7367, 35.97702
303.2188, 34.87495
303.7009, 33.89468
304.1830, 32.83616
304.6651, 32.03744
305.1472, 31.94826
305.6294, 32.43058
306.1115, 32.75191
306.5936, 32.21086
307.0757, 30.73018
307.5578, 29.92922
308.0399, 30.27582
308.5221, 30.70403
309.0042, 30.63640
309.4863, 30.25459
309.9684, 30.16322
310.4505, 30.81668
310.9326, 32.03701
311.4148, 32.53468
311.8969, 31.90203
312.3790, 31.14714
312.8611, 30.17200
313.3432, 29.28988
313.8253, 29.15129
314.3075, 30.11425
314.7896, 31.58506
315.2717, 32.01170
315.7538, 30.21079
316.2359, 29.07512
316.7180, 29.13625
317.2001, 29.83801
317.6823, 30.74429
318.1644, 31.70666
318.6465, 32.46744
319.1286, 32.58395
319.6107, 31.53477
320.0928, 31.11196
320.5750, 31.87603
321.0571, 32.85860
321.5392, 33.24073
322.0213, 32.97638
322.5034, 32.66066
322.9855, 32.91150
323.4677, 33.84541
323.9498, 34.52692
324.4319, 34.78725
324.9140, 34.99522
325.3961, 35.33247
325.8782, 35.77916
326.3604, 36.24908
326.8425, 36.70143
327.3246, 37.11989
327.8067, 37.31429
328.2888, 37.31322
328.7709, 37.09657
329.2531, 36.37907
329.7352, 35.49083
330.2173, 34.98856
330.6994, 35.14803
331.1815, 35.74727
331.6636, 36.19087
332.1458, 36.12385
332.6279, 36.34576
333.1100, 37.24006
333.5921, 38.25465
334.0742, 38.77354
334.5563, 38.64436
335.0385, 38.28032
335.5206, 38.29021
336.0027, 38.89043
336.4848, 39.32321
336.9669, 39.43542
337.4490, 39.52248
337.9312, 39.81175
338.4133, 40.28941
338.8954, 40.75628
339.3775, 41.01343
339.8596, 41.03344
340.3417, 41.19633
340.8239, 41.82885
341.3060, 42.24979
341.7881, 42.01969
342.2702, 41.39935
342.7523, 40.93592
343.2344, 40.97606
343.7166, 41.41862
344.1987, 41.77290
344.6808, 41.86156
345.1629, 42.06548
345.6450, 42.54809
346.1271, 43.10915
346.6093, 43.52209
347.0914, 43.70284
347.5735, 43.74022
348.0556, 43.82383
348.5377, 44.21098
349.0198, 44.14262
349.5020, 43.22250
349.9841, 42.20816
350.4662, 41.62566
350.9483, 41.52228
351.4304, 41.60743
351.9125, 41.57679
352.3947, 41.40657
352.8768, 41.28035
353.3589, 40.89305
353.8410, 40.84877
354.3231, 41.75186
354.8052, 43.16317
355.2874, 44.18054
355.7695, 44.15924
356.2516, 43.26891
356.7337, 42.44343
357.2158, 41.38273
357.6979, 40.84778
358.1800, 41.46163
358.6621, 42.42516
359.1443, 42.80357
359.6264, 42.24245
360.1085, 41.23926
360.5906, 40.75996
361.0727, 41.19069
361.5548, 41.12266
362.0370, 39.77235
362.5191, 38.39917
363.0012, 37.82802
363.4833, 38.09471
363.9654, 38.65681
364.4475, 39.08021
364.9297, 39.37812
365.4118, 39.28791
365.8939, 38.30502
366.3760, 37.48133
366.8581, 37.47784
367.3402, 37.93406
367.8224, 38.04824
368.3045, 37.19083
368.7866, 35.80305
369.2687, 35.29934
369.7508, 36.18407
370.2329, 36.84149
370.7151, 36.42906
371.1972, 35.68144
371.6793, 35.38861
372.1614, 35.82877
372.6435, 36.36804
373.1256, 36.02513
373.6078, 34.69772
374.0899, 34.00114
374.5720, 34.84529
375.0541, 35.93453
375.5362, 36.22519
376.0183, 35.76879
376.5005, 35.36681
376.9826, 35.68651
377.4647, 36.50348
377.9468, 37.00842
378.4289, 37.14892
378.9110, 36.97663
379.3932, 36.13062
379.8753, 35.03042
380.3574, 34.53728
380.8395, 35.16111
381.3216, 36.28646
381.8037, 37.33496
382.2859, 38.31686
382.7680, 38.83427
383.2501, 38.46016
383.7322, 37.66380
384.2143, 37.21861
384.6964, 37.20947
385.1786, 37.30937
385.6607, 37.21822
386.1428, 37.09182
386.6249, 37.42710
387.1070, 38.44994
387.5891, 39.64264
388.0713, 40.57170
388.5534, 41.25384
389.0355, 41.27387
389.5176, 39.76928
389.9997, 38.04758
390.4818, 37.44942
390.9640, 38.01490
391.4461, 39.05362
391.9282, 40.31157
392.4103, 41.62592
392.8924, 42.23851
393.3745, 41.67295
393.8567, 40.99480
394.3388, 40.44611
394.8209, 40.09629
395.3030, 40.26420
395.7851, 41.14921
396.2672, 42.09681
396.7494, 41.86723
397.2315, 39.72607
397.7136, 38.14415
398.1957, 37.56835
398.6778, 37.34790
399.1599, 36.99131
399.6420, 36.43188
400.1241, 35.79168
400.6063, 35.14699
401.0884, 34.48664
401.5705, 34.15430
402.0526, 34.72011
402.5347, 34.94017
403.0168, 34.16475
403.4990, 32.84543
403.9811, 31.78763
404.4632, 31.38779
404.9453, 31.28716
405.4274, 30.52660
405.9095, 27.96868
406.3917, 26.74544
406.8738, 27.79113
407.3559, 29.44095
407.8380, 30.67875
408.3201, 31.29412
408.8022, 31.50758
409.2844, 31.55573
409.7665, 31.45409
410.2486, 30.88898
410.7307, 29.32332
411.2128, 27.85972
411.6949, 26.49592
412.1771, 25.51447
412.6592, 25.43360
413.1413, 26.62205
413.6234, 28.46088
414.1055, 29.67420
414.5876, 30.21764
415.0698, 30.27217
415.5519, 29.40030
