##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
274.0849, 1149.831
274.5670, 1140.179
275.0492, 1137.502
275.5313, 1137.573
276.0134, 1136.318
276.4955, 1133.215
276.9776, 1134.536
277.4597, 1143.141
277.9419, 1156.418
278.4240, 1163.962
278.9061, 1164.985
279.3882, 1163.599
279.8703, 1162.757
280.3524, 1162.467
280.8346, 1161.788
281.3167, 1159.633
281.7988, 1157.557
282.2809, 1161.855
282.7630, 1173.544
283.2451, 1184.593
283.7273, 1187.582
284.2094, 1182.959
284.6915, 1179.826
285.1736, 1179.902
285.6557, 1182.156
286.1378, 1183.940
286.6200, 1185.177
287.1021, 1187.136
287.5842, 1191.507
288.0663, 1197.816
288.5484, 1202.815
289.0305, 1205.663
289.5127, 1207.364
289.9948, 1211.159
290.4769, 1216.975
290.9590, 1220.031
291.4411, 1212.996
291.9232, 1199.299
292.4054, 1193.711
292.8875, 1200.183
293.3696, 1212.402
293.8517, 1221.810
294.3338, 1228.316
294.8159, 1230.419
295.2981, 1223.299
295.7802, 1210.853
296.2623, 1204.161
296.7444, 1206.212
297.2265, 1211.073
297.7086, 1209.263
298.1908, 1202.372
298.6729, 1198.508
299.1550, 1205.878
299.6371, 1219.148
300.1192, 1228.225
300.6013, 1231.110
301.0835, 1231.814
301.5656, 1234.928
302.0477, 1239.607
302.5298, 1242.938
303.0119, 1240.580
303.4940, 1236.936
303.9762, 1238.704
304.4583, 1247.683
304.9404, 1257.542
305.4225, 1265.053
305.9046, 1269.214
306.3867, 1267.738
306.8689, 1250.986
307.3510, 1232.360
307.8331, 1226.571
308.3152, 1236.225
308.7973, 1249.538
309.2794, 1263.153
309.7616, 1274.175
310.2437, 1277.721
310.7258, 1262.822
311.2079, 1245.537
311.6900, 1236.554
312.1721, 1237.147
312.6543, 1243.216
313.1364, 1259.832
313.6185, 1278.945
314.1006, 1289.500
314.5827, 1277.341
315.0648, 1263.705
315.5470, 1260.160
316.0291, 1267.711
316.5112, 1276.098
316.9933, 1281.886
317.4754, 1286.193
317.9576, 1290.173
318.4397, 1292.264
318.9218, 1295.857
319.4039, 1303.831
319.8860, 1316.153
320.3681, 1324.948
320.8503, 1328.984
321.3324, 1328.374
321.8145, 1323.209
322.2966, 1300.837
322.7787, 1287.276
323.2608, 1292.819
323.7430, 1315.518
324.2251, 1332.160
324.7072, 1335.613
325.1893, 1335.089
325.6714, 1336.158
326.1535, 1342.631
326.6357, 1346.722
327.1178, 1345.733
327.5999, 1341.006
328.0820, 1340.229
328.5641, 1349.570
329.0462, 1357.461
329.5284, 1357.828
330.0105, 1339.107
330.4926, 1331.226
330.9747, 1340.456
331.4568, 1360.445
331.9389, 1371.659
332.4211, 1367.788
332.9032, 1363.692
333.3853, 1365.850
333.8674, 1376.793
334.3495, 1387.765
334.8316, 1401.053
335.3138, 1413.048
335.7959, 1414.795
336.2780, 1401.369
336.7601, 1390.094
337.2422, 1389.168
337.7243, 1400.517
338.2065, 1405.911
338.6886, 1403.675
339.1707, 1398.165
339.6528, 1395.552
340.1349, 1396.146
340.6170, 1397.795
341.0992, 1400.349
341.5813, 1403.591
342.0634, 1405.516
342.5455, 1406.169
343.0276, 1405.278
343.5097, 1401.359
343.9919, 1394.506
344.4740, 1389.558
344.9561, 1387.068
345.4382, 1387.701
345.9203, 1396.227
346.4024, 1413.332
346.8846, 1428.350
347.3667, 1429.329
347.8488, 1419.533
348.3309, 1411.598
348.8130, 1408.875
349.2951, 1409.258
349.7773, 1409.597
350.2594, 1410.002
350.7415, 1411.432
351.2236, 1416.486
351.7057, 1422.754
352.1878, 1425.195
352.6700, 1421.511
353.1521, 1416.929
353.6342, 1419.100
354.1163, 1425.457
354.5984, 1427.777
355.0806, 1413.194
355.5627, 1396.318
356.0448, 1394.846
356.5269, 1415.294
357.0090, 1434.055
357.4911, 1429.913
357.9733, 1413.566
358.4554, 1404.152
358.9375, 1416.880
359.4196, 1433.854
359.9017, 1445.087
360.3839, 1449.438
360.8660, 1450.037
361.3481, 1447.228
361.8302, 1441.641
362.3123, 1433.983
362.7944, 1418.821
363.2766, 1406.977
363.7587, 1402.503
364.2408, 1405.566
364.7229, 1411.033
365.2050, 1422.967
365.6871, 1434.045
366.1693, 1439.123
366.6514, 1429.904
367.1335, 1423.420
367.6156, 1423.292
368.0977, 1428.409
368.5798, 1430.651
369.0620, 1424.837
369.5441, 1420.848
370.0262, 1424.211
370.5083, 1446.148
370.9904, 1455.551
371.4725, 1445.674
371.9547, 1424.756
372.4368, 1413.851
372.9189, 1416.093
373.4010, 1422.487
373.8831, 1430.541
374.3652, 1440.990
374.8474, 1448.763
375.3295, 1453.838
375.8116, 1456.257
376.2937, 1454.404
376.7758, 1446.773
377.2579, 1443.859
377.7401, 1452.331
378.2222, 1469.918
378.7043, 1475.535
379.1864, 1467.502
379.6685, 1454.533
380.1506, 1443.603
380.6328, 1434.937
381.1149, 1431.490
381.5970, 1436.030
382.0791, 1444.518
382.5612, 1446.826
383.0433, 1443.283
383.5255, 1441.140
384.0076, 1449.584
384.4897, 1463.250
384.9718, 1469.243
385.4539, 1463.076
385.9360, 1453.549
386.4182, 1449.100
386.9003, 1449.346
387.3824, 1452.819
387.8645, 1461.762
388.3466, 1472.011
388.8287, 1478.122
389.3109, 1478.525
389.7930, 1480.948
390.2751, 1496.292
390.7572, 1516.062
391.2393, 1527.115
391.7214, 1512.734
392.2036, 1497.873
392.6857, 1499.095
393.1678, 1517.099
393.6499, 1529.568
394.1320, 1522.732
394.6141, 1509.742
395.0963, 1501.783
395.5784, 1506.541
396.0605, 1510.926
396.5426, 1510.234
397.0247, 1505.953
397.5068, 1506.611
397.9890, 1522.756
398.4711, 1536.538
398.9532, 1538.978
399.4353, 1518.185
399.9174, 1505.797
400.3995, 1505.978
400.8817, 1513.454
401.3638, 1517.349
401.8459, 1515.172
402.3280, 1513.571
402.8101, 1515.088
403.2922, 1520.339
403.7744, 1524.065
404.2565, 1525.597
404.7386, 1526.600
405.2207, 1530.238
405.7028, 1537.673
406.1849, 1540.259
406.6671, 1534.106
407.1492, 1521.559
407.6313, 1512.299
408.1134, 1505.866
408.5955, 1505.585
409.0776, 1520.381
409.5598, 1546.155
410.0419, 1559.111
410.5240, 1553.025
411.0061, 1537.052
411.4882, 1522.522
411.9703, 1510.005
412.4525, 1502.270
412.9346, 1503.751
413.4167, 1510.218
413.8988, 1516.591
414.3809, 1522.914
414.8630, 1525.255
415.3452, 1515.529
415.8273, 1499.959
416.3094, 1489.473
416.7915, 1490.435
417.2736, 1496.556
417.7557, 1506.919
418.2379, 1520.849
418.7200, 1529.183
419.2021, 1521.263
419.6842, 1509.416
420.1663, 1503.990
420.6484, 1514.582
421.1306, 1522.849
421.6127, 1524.025
422.0948, 1519.354
422.5769, 1512.616
423.0590, 1497.685
423.5411, 1486.453
424.0233, 1485.348
424.5054, 1501.470
424.9875, 1509.551
425.4696, 1502.110
425.9517, 1490.397
426.4338, 1490.241
426.9160, 1510.354
427.3981, 1526.351
427.8802, 1532.134
428.3623, 1528.051
428.8444, 1522.513
429.3265, 1513.936
429.8087, 1507.368
430.2908, 1508.289
430.7729, 1517.682
431.2550, 1524.285
431.7371, 1525.696
432.2192, 1524.445
432.7014, 1527.638
433.1835, 1535.212
433.6656, 1539.815
434.1477, 1534.195
434.6298, 1521.935
435.1119, 1514.668
435.5941, 1513.379
436.0762, 1514.958
436.5583, 1517.585
437.0404, 1520.543
437.5225, 1522.085
438.0046, 1520.048
438.4868, 1517.216
438.9689, 1516.823
439.4510, 1518.574
439.9331, 1519.777
440.4152, 1517.473
440.8973, 1514.515
441.3795, 1513.669
441.8616, 1516.489
442.3437, 1519.943
442.8258, 1523.318
443.3079, 1526.404
443.7900, 1528.705
444.2722, 1528.443
444.7543, 1528.774
445.2364, 1531.811
445.7185, 1539.264
446.2006, 1542.935
446.6827, 1537.288
447.1649, 1530.223
447.6470, 1529.614
448.1291, 1541.408
448.6112, 1549.898
449.0933, 1551.680
449.5754, 1547.967
450.0576, 1546.046
450.5397, 1545.660
451.0218, 1547.612
451.5039, 1553.891
451.9860, 1565.746
452.4681, 1571.367
452.9503, 1568.094
453.4324, 1562.490
453.9145, 1568.240
454.3966, 1585.063
454.8787, 1596.124
455.3608, 1591.534
455.8430, 1576.535
456.3251, 1565.006
456.8072, 1556.980
457.2893, 1552.059
457.7714, 1550.798
458.2535, 1552.364
458.7357, 1555.288
459.2178, 1559.560
459.6999, 1564.511
460.1820, 1571.100
460.6641, 1578.212
461.1462, 1582.627
461.6284, 1578.852
462.1105, 1574.590
462.5926, 1575.890
463.0747, 1584.519
463.5568, 1592.405
464.0389, 1599.016
464.5211, 1602.467
465.0032, 1600.555
465.4853, 1584.444
465.9674, 1572.047
466.4495, 1567.815
466.9316, 1571.169
467.4138, 1575.700
467.8959, 1583.522
468.3780, 1590.265
468.8601, 1593.530
469.3422, 1591.722
469.8243, 1590.424
470.3065, 1589.370
470.7886, 1589.092
471.2707, 1591.212
471.7528, 1596.534
472.2349, 1599.989
472.7170, 1598.958
473.1992, 1594.663
473.6813, 1592.371
474.1634, 1591.850
474.6455, 1595.714
475.1276, 1611.296
475.6097, 1633.960
476.0919, 1646.723
476.5740, 1644.454
477.0561, 1636.340
477.5382, 1631.928
478.0203, 1630.604
478.5024, 1630.514
478.9846, 1632.202
479.4667, 1633.732
479.9488, 1634.001
480.4309, 1633.004
480.9130, 1628.900
481.3951, 1611.915
481.8773, 1595.466
482.3594, 1592.328
482.8415, 1622.228
483.3236, 1647.853
483.8057, 1660.145
484.2878, 1661.148
484.7700, 1658.390
485.2521, 1645.626
485.7342, 1635.603
486.2163, 1633.589
486.6984, 1642.592
487.1805, 1647.596
487.6627, 1645.329
488.1448, 1642.433
488.6269, 1647.706
489.1090, 1664.388
489.5911, 1676.080
490.0732, 1677.533
490.5554, 1672.674
491.0375, 1676.202
491.5196, 1688.978
492.0017, 1701.303
492.4838, 1706.286
492.9659, 1705.773
493.4481, 1706.732
493.9302, 1709.890
494.4123, 1713.406
494.8944, 1713.333
495.3765, 1712.060
495.8586, 1715.125
496.3408, 1730.468
496.8229, 1746.322
497.3050, 1752.063
497.7871, 1749.126
498.2692, 1745.616
498.7513, 1744.687
499.2335, 1745.276
499.7156, 1746.399
500.1977, 1746.999
500.6798, 1750.379
501.1619, 1757.598
501.6440, 1767.907
502.1262, 1780.497
502.6083, 1807.681
503.0904, 1822.215
503.5725, 1812.649
504.0546, 1781.440
504.5367, 1768.272
505.0189, 1779.929
505.5010, 1798.025
505.9831, 1812.472
506.4652, 1823.191
506.9473, 1829.433
507.4294, 1829.856
507.9116, 1828.342
508.3937, 1830.690
508.8758, 1836.778
509.3579, 1844.467
509.8400, 1853.804
510.3221, 1863.793
510.8043, 1871.212
511.2864, 1876.367
511.7685, 1883.835
512.2506, 1900.510
512.7327, 1920.083
513.2148, 1934.590
513.6970, 1942.347
514.1791, 1945.645
514.6612, 1943.891
515.1433, 1938.985
515.6254, 1933.955
516.1075, 1922.523
516.5897, 1918.167
517.0718, 1930.358
517.5539, 1958.630
518.0360, 1979.122
518.5181, 1981.323
519.0002, 1981.208
519.4824, 1986.610
519.9645, 1999.225
520.4466, 2014.615
520.9287, 2036.780
521.4108, 2058.296
521.8929, 2064.386
522.3751, 2050.612
522.8572, 2043.015
523.3393, 2052.827
523.8214, 2074.216
524.3035, 2080.362
524.7856, 2070.715
525.2678, 2062.139
525.7499, 2068.441
526.2320, 2085.512
526.7141, 2105.660
527.1962, 2129.356
527.6783, 2147.643
528.1605, 2144.851
528.6426, 2131.196
529.1247, 2125.271
529.6068, 2142.948
530.0889, 2163.411
530.5710, 2175.050
531.0532, 2178.596
531.5353, 2181.137
532.0174, 2183.346
532.4995, 2186.339
532.9816, 2191.052
533.4637, 2199.548
533.9459, 2205.275
534.4280, 2205.886
534.9101, 2204.998
535.3922, 2208.113
535.8743, 2220.792
536.3564, 2223.403
536.8386, 2207.546
537.3207, 2179.909
537.8028, 2169.287
538.2849, 2178.066
538.7670, 2189.960
539.2491, 2195.906
539.7313, 2196.820
540.2134, 2197.073
540.6955, 2196.874
541.1776, 2195.793
541.6597, 2190.264
542.1418, 2183.756
542.6240, 2184.305
543.1061, 2199.994
543.5882, 2216.035
544.0703, 2218.665
544.5524, 2211.850
545.0345, 2206.946
545.5167, 2212.143
545.9988, 2217.920
546.4809, 2219.052
546.9630, 2214.430
547.4451, 2209.621
547.9272, 2201.970
548.4094, 2196.632
548.8915, 2198.192
549.3736, 2214.091
549.8557, 2222.887
550.3378, 2220.424
550.8199, 2211.671
551.3021, 2208.464
551.7842, 2212.420
552.2663, 2214.163
552.7484, 2209.042
553.2305, 2198.666
553.7126, 2190.077
554.1948, 2183.164
554.6769, 2179.926
555.1590, 2185.427
555.6411, 2195.265
556.1232, 2199.964
556.6053, 2197.197
557.0875, 2191.909
557.5696, 2189.291
558.0517, 2186.958
558.5338, 2180.853
559.0159, 2161.234
559.4980, 2145.220
559.9802, 2144.772
560.4623, 2157.270
560.9444, 2162.143
561.4265, 2148.469
561.9086, 2131.861
562.3907, 2119.002
562.8729, 2108.822
563.3550, 2106.235
563.8371, 2116.725
564.3192, 2128.849
564.8013, 2127.587
565.2834, 2109.028
565.7656, 2098.679
566.2477, 2103.042
566.7298, 2116.266
567.2119, 2126.969
567.6940, 2135.052
568.1761, 2138.524
568.6583, 2132.536
569.1404, 2122.540
569.6225, 2120.354
570.1046, 2126.142
570.5867, 2128.040
571.0688, 2108.296
571.5510, 2084.291
572.0331, 2076.616
572.5152, 2100.082
572.9973, 2119.800
573.4794, 2118.548
573.9615, 2105.883
574.4437, 2097.758
574.9258, 2102.729
575.4079, 2105.561
575.8900, 2103.642
576.3721, 2097.066
576.8542, 2085.727
577.3364, 2064.995
577.8185, 2048.555
578.3006, 2046.204
578.7827, 2058.781
579.2648, 2069.091
579.7469, 2077.285
580.2291, 2082.209
580.7112, 2079.446
581.1933, 2071.567
581.6754, 2069.316
582.1575, 2078.237
582.6396, 2089.744
583.1218, 2094.991
583.6039, 2094.851
584.0860, 2091.794
584.5681, 2081.901
585.0502, 2073.572
585.5323, 2074.808
586.0145, 2085.931
586.4966, 2091.596
586.9787, 2080.354
587.4608, 2067.535
587.9429, 2063.700
588.4250, 2079.196
588.9072, 2083.072
589.3893, 2067.932
589.8714, 2047.248
590.3535, 2041.046
590.8356, 2052.686
591.3177, 2062.430
591.7999, 2065.504
592.2820, 2063.737
592.7641, 2060.077
593.2462, 2054.779
593.7283, 2053.639
594.2104, 2066.927
594.6926, 2084.128
595.1747, 2085.152
595.6568, 2069.013
596.1389, 2052.912
596.6210, 2051.144
597.1031, 2054.694
597.5853, 2054.265
598.0674, 2045.449
598.5495, 2036.814
599.0316, 2030.302
599.5137, 2025.592
599.9958, 2022.128
600.4780, 2018.523
600.9601, 2017.947
601.4423, 2021.349
601.9244, 2028.292
602.4065, 2038.104
602.8886, 2053.130
603.3707, 2063.821
603.8528, 2063.282
604.3350, 2052.616
604.8171, 2043.548
605.2992, 2036.170
605.7813, 2030.047
606.2634, 2023.717
606.7455, 2018.312
607.2277, 2016.465
607.7098, 2019.916
608.1919, 2024.322
608.6740, 2026.429
609.1561, 2027.085
609.6382, 2027.743
610.1204, 2029.511
610.6025, 2030.793
611.0846, 2032.150
611.5667, 2033.144
612.0488, 2029.644
612.5309, 2016.359
613.0131, 2004.618
613.4952, 1998.988
613.9773, 1999.760
614.4594, 2004.734
614.9415, 2015.429
615.4236, 2026.334
615.9058, 2032.693
616.3879, 2034.503
616.8700, 2030.386
617.3521, 2018.113
617.8342, 2005.530
618.3163, 2005.367
618.7985, 2013.090
619.2806, 2017.512
619.7627, 2008.164
620.2448, 1998.618
620.7269, 1999.046
621.2090, 2007.769
621.6912, 2016.911
622.1733, 2027.722
622.6554, 2035.035
623.1375, 2036.076
623.6196, 2029.946
624.1017, 2021.104
624.5839, 2005.603
625.0660, 1992.010
625.5481, 1986.968
626.0302, 1991.412
626.5123, 2000.636
626.9944, 2017.240
627.4766, 2031.891
627.9587, 2023.229
628.4408, 1996.553
628.9229, 1984.802
629.4050, 2008.741
629.8871, 2041.475
630.3693, 2048.898
630.8514, 2036.903
631.3335, 2025.154
631.8156, 2022.473
632.2977, 2024.151
632.7798, 2029.729
633.2620, 2039.430
633.7441, 2043.461
634.2262, 2034.777
634.7083, 2023.776
635.1904, 2015.513
635.6725, 2007.179
636.1547, 2011.045
636.6368, 2034.826
637.1189, 2059.496
637.6010, 2056.296
638.0831, 2024.524
638.5652, 2006.252
639.0474, 2013.781
639.5295, 2032.275
640.0116, 2035.387
640.4937, 2027.454
640.9758, 2023.876
641.4579, 2043.655
641.9401, 2062.613
642.4222, 2053.074
642.9043, 2019.821
643.3864, 1997.954
643.8685, 2013.483
644.3506, 2034.076
644.8328, 2041.130
645.3149, 2026.888
645.7970, 2023.743
646.2791, 2041.293
646.7612, 2059.654
647.2433, 2058.600
647.7255, 2031.621
648.2076, 2022.959
648.6897, 2041.423
649.1718, 2068.285
649.6539, 2073.601
650.1360, 2060.969
650.6182, 2048.602
651.1003, 2040.452
651.5824, 2038.152
652.0645, 2049.862
652.5466, 2070.095
653.0287, 2082.183
653.5109, 2071.888
653.9930, 2056.966
654.4751, 2045.003
654.9572, 2036.521
655.4393, 2033.232
655.9214, 2043.740
656.4036, 2051.867
656.8857, 2049.098
657.3678, 2032.189
657.8499, 2018.415
658.3320, 2007.222
658.8141, 2000.600
659.2963, 2003.041
659.7784, 2013.489
660.2605, 2021.769
660.7426, 2027.133
661.2247, 2027.152
661.7068, 2012.661
662.1890, 1990.753
662.6711, 1976.936
663.1532, 1985.636
663.6353, 1996.689
664.1174, 2000.199
664.5995, 1997.250
665.0817, 1991.417
665.5638, 1980.881
666.0459, 1970.255
666.5280, 1961.339
667.0101, 1954.132
667.4922, 1944.679
667.9744, 1930.916
668.4565, 1919.680
668.9386, 1917.019
669.4207, 1922.307
669.9028, 1922.574
670.3849, 1916.860
670.8671, 1910.287
671.3492, 1908.753
671.8313, 1910.090
672.3134, 1910.966
672.7955, 1911.864
673.2776, 1908.722
673.7598, 1889.093
674.2419, 1866.343
674.7240, 1860.184
675.2061, 1901.885
675.6882, 1930.256
676.1703, 1925.002
676.6525, 1898.280
677.1346, 1881.893
677.6167, 1880.108
678.0988, 1878.539
678.5809, 1871.042
679.0630, 1859.914
679.5452, 1858.992
680.0273, 1868.392
680.5094, 1876.379
680.9915, 1871.351
681.4736, 1860.802
681.9557, 1857.242
682.4379, 1861.398
682.9200, 1870.255
683.4021, 1890.077
683.8842, 1908.739
684.3663, 1913.695
684.8484, 1891.470
685.3306, 1881.907
685.8127, 1903.033
686.2948, 1933.141
686.7769, 1951.713
687.2590, 1956.483
687.7411, 1955.076
688.2233, 1945.791
688.7054, 1934.191
689.1875, 1931.446
689.6696, 1936.978
690.1517, 1944.085
690.6339, 1948.979
691.1160, 1955.515
691.5981, 1973.232
692.0802, 1998.127
692.5623, 2016.106
693.0444, 2016.243
693.5266, 2010.621
694.0087, 2002.258
694.4908, 1991.861
694.9729, 1991.378
695.4550, 2009.990
695.9371, 2031.594
696.4193, 2051.322
696.9014, 2070.304
697.3835, 2076.884
697.8656, 2067.696
698.3477, 2056.188
698.8298, 2057.709
699.3120, 2068.381
699.7941, 2067.051
700.2762, 2048.885
700.7583, 2032.512
701.2404, 2039.096
701.7225, 2058.497
702.2047, 2076.042
702.6868, 2087.856
703.1689, 2096.164
703.6510, 2102.152
704.1331, 2105.084
704.6152, 2103.151
705.0974, 2088.836
705.5795, 2081.140
706.0616, 2084.085
706.5437, 2095.167
707.0258, 2109.327
707.5079, 2127.659
707.9901, 2139.387
708.4722, 2138.591
708.9543, 2128.932
709.4364, 2116.271
709.9185, 2101.408
710.4006, 2089.657
710.8828, 2083.450
711.3649, 2082.238
711.8470, 2088.429
712.3291, 2102.291
712.8112, 2110.812
713.2933, 2102.131
713.7755, 2093.365
714.2576, 2096.220
714.7397, 2117.447
715.2218, 2123.202
715.7039, 2106.582
716.1860, 2087.787
716.6682, 2090.666
717.1503, 2112.806
717.6324, 2123.659
718.1145, 2118.111
718.5966, 2106.524
719.0787, 2092.242
719.5609, 2081.682
720.0430, 2087.837
720.5251, 2130.417
721.0072, 2165.573
721.4893, 2162.327
721.9714, 2139.106
722.4536, 2128.957
722.9357, 2149.550
723.4178, 2166.273
723.8999, 2175.884
724.3820, 2177.683
724.8641, 2164.012
725.3463, 2130.596
725.8284, 2111.942
726.3105, 2126.979
726.7926, 2162.023
727.2747, 2185.711
727.7568, 2199.503
728.2390, 2212.062
728.7211, 2231.213
729.2032, 2249.649
729.6853, 2260.289
730.1674, 2263.145
730.6495, 2265.594
731.1317, 2268.492
731.6138, 2272.610
732.0959, 2278.293
732.5780, 2285.629
