##NAMES=Hilgardite
##RRUFFID=R070427
##IDEAL CHEMISTRY=Ca_2_B_5_O_9_Cl&#183;H_2_O
##LOCALITY=Boulby mine, Loftus, Cleveland, England, UK
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Massive etched pink crystallline associated with pale green boracite, polytype 3TC
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070427
372.1787, 3352.014
372.6608, 3415.908
373.1429, 3502.431
373.6250, 3592.899
374.1071, 3656.184
374.5893, 3681.498
375.0714, 3702.033
375.5535, 3734.690
376.0356, 3782.975
376.5177, 3785.924
376.9998, 3733.060
377.4820, 3652.636
377.9641, 3575.591
378.4462, 3501.995
378.9283, 3428.262
379.4104, 3352.870
379.8925, 3277.097
380.3747, 3206.961
380.8568, 3141.976
381.3389, 3081.981
381.8210, 3028.549
382.3031, 2981.002
382.7852, 2928.100
383.2674, 2864.777
383.7495, 2799.923
384.2316, 2758.069
384.7137, 2736.098
385.1958, 2709.214
385.6779, 2657.663
386.1601, 2589.909
386.6422, 2523.500
387.1243, 2458.496
387.6064, 2399.466
388.0885, 2355.221
388.5706, 2320.208
389.0528, 2281.208
389.5349, 2227.250
390.0170, 2168.800
390.4991, 2116.239
390.9813, 2070.884
391.4634, 2024.158
391.9455, 1968.042
392.4276, 1907.979
392.9097, 1850.887
393.3918, 1797.040
393.8740, 1748.905
394.3561, 1707.771
394.8382, 1673.558
395.3203, 1643.311
395.8024, 1611.999
396.2845, 1586.986
396.7667, 1573.716
397.2488, 1584.005
397.7309, 1592.484
398.2130, 1590.865
398.6951, 1583.535
399.1772, 1584.345
399.6594, 1603.232
400.1415, 1623.173
400.6236, 1638.043
401.1057, 1646.162
401.5878, 1653.192
402.0699, 1659.808
402.5521, 1665.004
403.0342, 1666.716
403.5163, 1661.443
403.9984, 1659.014
404.4805, 1662.773
404.9626, 1672.807
405.4448, 1680.864
405.9269, 1685.421
406.4090, 1690.804
406.8911, 1703.939
407.3732, 1727.421
407.8553, 1740.070
408.3375, 1734.029
408.8196, 1717.001
409.3017, 1713.349
409.7838, 1723.857
410.2659, 1738.994
410.7480, 1754.594
411.2302, 1769.854
411.7123, 1780.942
412.1944, 1787.969
412.6765, 1788.893
413.1586, 1776.148
413.6407, 1753.010
414.1229, 1734.218
414.6050, 1728.981
415.0871, 1731.729
415.5692, 1734.663
416.0513, 1737.472
416.5334, 1741.046
417.0156, 1748.068
417.4977, 1755.951
417.9798, 1760.686
418.4619, 1752.985
418.9440, 1748.512
419.4261, 1759.279
419.9083, 1783.063
420.3904, 1807.812
420.8725, 1831.715
421.3546, 1852.247
421.8367, 1866.739
422.3188, 1870.794
422.8010, 1875.927
423.2831, 1885.525
423.7652, 1898.143
424.2473, 1910.865
424.7294, 1910.740
425.2115, 1922.227
425.6937, 1958.218
426.1758, 2028.687
426.6579, 2083.997
427.1400, 2117.594
427.6221, 2140.804
428.1042, 2164.748
428.5864, 2186.792
429.0685, 2215.146
429.5506, 2253.813
430.0327, 2300.571
430.5148, 2340.964
430.9969, 2374.998
431.4791, 2402.045
431.9612, 2422.304
432.4433, 2436.153
432.9254, 2438.689
433.4075, 2428.810
433.8896, 2408.314
434.3718, 2378.918
434.8539, 2340.748
435.3360, 2298.130
435.8181, 2245.564
436.3002, 2190.838
436.7823, 2160.418
437.2645, 2156.873
437.7466, 2155.979
438.2287, 2129.767
438.7108, 2088.448
439.1929, 2054.479
439.6750, 2038.141
440.1572, 2030.205
440.6393, 2021.399
441.1214, 2012.922
441.6035, 2010.686
442.0856, 2021.292
442.5677, 2037.812
443.0499, 2055.658
443.5320, 2076.132
444.0141, 2092.022
444.4962, 2096.457
444.9783, 2095.033
445.4604, 2097.124
445.9426, 2104.203
446.4247, 2116.040
446.9068, 2133.830
447.3889, 2158.253
447.8710, 2182.363
448.3531, 2202.527
448.8353, 2224.327
449.3174, 2252.547
449.7995, 2292.573
450.2816, 2329.870
450.7637, 2360.396
451.2458, 2387.228
451.7280, 2420.125
452.2101, 2457.255
452.6922, 2504.277
453.1743, 2567.273
453.6564, 2647.646
454.1385, 2724.157
454.6207, 2796.738
455.1028, 2865.572
455.5849, 2931.440
456.0670, 2994.053
456.5491, 3053.217
457.0313, 3107.821
457.5134, 3158.944
457.9955, 3208.061
458.4776, 3255.509
458.9597, 3299.177
459.4418, 3341.675
459.9240, 3378.368
460.4061, 3401.604
460.8882, 3408.662
461.3703, 3403.933
461.8524, 3397.564
462.3345, 3382.505
462.8167, 3342.228
463.2988, 3255.606
463.7809, 3151.902
464.2630, 3048.994
464.7451, 2949.220
465.2272, 2844.072
465.7094, 2722.347
466.1915, 2599.318
466.6736, 2487.294
467.1557, 2386.619
467.6378, 2300.513
468.1199, 2235.177
468.6021, 2185.744
469.0842, 2132.747
469.5663, 2060.791
470.0484, 2003.478
470.5305, 1977.791
471.0126, 1995.959
471.4948, 2005.099
471.9769, 2002.457
472.4590, 1994.344
472.9411, 1988.640
473.4232, 1985.271
473.9054, 1984.555
474.3875, 1985.499
474.8696, 1989.462
475.3517, 2003.735
475.8338, 2028.845
476.3159, 2055.215
476.7981, 2073.014
477.2802, 2085.929
477.7623, 2105.627
478.2444, 2134.570
