##NAMES=Slavikite
##RRUFFID=R080048
##IDEAL CHEMISTRY=(H_3_O)^1+^_3_Mg_6_Fe^3+^_15_(S^6+^O_4_)_21_(OH)_18_&#183;98H_2_O
##LOCALITY=Mandat, Bohmen, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Mustard yellow, massive efflorescence
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080048
424.7815, 248.4765
425.2636, 247.8214
425.7458, 247.1166
426.2279, 246.3443
426.7100, 245.5915
427.1921, 245.0168
427.6742, 244.3694
428.1563, 243.3961
428.6385, 242.0908
429.1206, 240.7973
429.6027, 239.7540
430.0848, 238.9212
430.5669, 238.1519
431.0490, 237.4506
431.5312, 236.7712
432.0133, 236.0410
432.4954, 235.3082
432.9775, 234.6903
433.4596, 234.2788
433.9417, 233.9121
434.4239, 233.3934
434.9060, 232.7630
435.3881, 232.2984
435.8702, 232.1448
436.3523, 232.1493
436.8344, 232.0202
437.3166, 231.7121
437.7987, 231.5533
438.2808, 232.0225
438.7629, 232.4794
439.2450, 231.9050
439.7271, 230.2693
440.2093, 228.8682
440.6914, 228.8820
441.1735, 230.2176
441.6556, 230.8177
442.1377, 229.9756
442.6198, 229.3022
443.1020, 229.4380
443.5841, 230.0730
444.0662, 230.7468
444.5483, 231.2865
445.0304, 231.6641
445.5125, 231.8307
445.9947, 231.7224
446.4768, 231.5251
446.9589, 231.0479
447.4410, 230.6561
447.9231, 230.6674
448.4052, 230.9734
448.8874, 231.1929
449.3695, 231.0271
449.8516, 230.5549
450.3337, 230.2780
450.8158, 230.4818
451.2979, 230.4258
451.7801, 229.8221
452.2622, 229.0114
452.7443, 228.3293
453.2264, 227.8548
453.7085, 227.4004
454.1906, 226.7493
454.6728, 225.8967
455.1549, 224.9824
455.6370, 223.9202
456.1191, 222.9216
456.6012, 222.1430
457.0833, 221.5081
457.5655, 220.8511
458.0476, 220.1072
458.5297, 219.3049
459.0118, 218.4892
459.4939, 217.6620
459.9760, 216.7842
460.4582, 215.7023
460.9403, 214.6992
461.4224, 214.1627
461.9045, 214.1318
462.3866, 214.1880
462.8687, 214.1703
463.3508, 214.1307
463.8329, 214.2473
464.3151, 214.5427
464.7972, 214.5856
465.2793, 213.9722
465.7614, 212.7817
466.2435, 211.7947
466.7256, 211.1109
467.2078, 210.5066
467.6899, 209.8162
468.1720, 209.1743
468.6541, 208.8495
469.1362, 208.9300
469.6183, 209.1800
470.1005, 209.2555
470.5826, 209.0792
471.0647, 208.9784
471.5468, 209.1056
472.0289, 209.1536
472.5110, 208.9253
472.9932, 208.4958
473.4753, 208.0253
473.9574, 207.5914
474.4395, 207.2445
474.9216, 207.2041
475.4037, 207.8592
475.8859, 208.0207
476.3680, 206.9747
476.8501, 205.8533
477.3322, 205.5412
477.8143, 206.0494
478.2964, 206.7052
478.7786, 206.9580
479.2607, 206.8630
479.7428, 206.7600
480.2249, 206.6653
480.7070, 206.5241
481.1891, 206.2135
481.6713, 205.8748
482.1534, 205.7089
482.6355, 205.7931
483.1176, 205.9334
483.5997, 205.9697
484.0818, 205.9265
484.5640, 205.9140
485.0461, 205.9799
485.5282, 206.0133
486.0103, 205.8608
486.4924, 205.5484
486.9745, 205.3025
487.4567, 205.1668
487.9388, 205.0950
488.4209, 205.1557
488.9030, 205.2652
489.3851, 205.1134
489.8672, 204.5092
490.3494, 203.7707
490.8315, 203.5688
491.3136, 204.4367
491.7957, 204.8248
492.2778, 204.3553
492.7599, 203.7056
493.2421, 203.3269
493.7242, 203.2157
