##NAMES=Gehlenite
##RRUFFID=R060841
##IDEAL CHEMISTRY=Ca_2_Al(SiAl)O_7_
##LOCALITY=Monzoni, Tyrol, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brown rectangular prism
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060841
##MEASURED CHEMISTRY=(Ca_1.92_Na_0.07_K_0.01_)_Σ=2_(Al_0.62_Mg_0.25_Fe^2+^_0.13_)_Σ=1_(Si_1.46_Al_0.54_)O_7_ ; = lighter phase, and the darker phase is calcite
688.4917, 8712.035
688.9738, 8701.280
689.4559, 8693.182
689.9380, 8687.217
690.4202, 8683.637
690.9023, 8680.302
691.3844, 8677.176
691.8665, 8672.184
692.3486, 8658.972
692.8307, 8631.882
693.3129, 8608.505
693.7950, 8604.604
694.2771, 8610.896
694.7592, 8614.569
695.2413, 8614.613
695.7234, 8608.620
696.2056, 8589.268
696.6877, 8564.934
697.1698, 8557.289
697.6519, 8579.756
698.1340, 8582.558
698.6161, 8543.326
699.0983, 8477.987
699.5804, 8440.608
700.0625, 8431.171
700.5446, 8439.040
701.0267, 8477.392
701.5089, 8520.113
701.9910, 8523.247
702.4731, 8489.031
702.9552, 8455.512
703.4373, 8439.841
703.9194, 8435.576
704.4016, 8441.825
704.8837, 8464.228
705.3658, 8472.186
705.8479, 8449.387
706.3300, 8424.517
706.8121, 8422.255
707.2943, 8453.262
707.7764, 8453.780
708.2585, 8411.589
708.7406, 8363.597
709.2227, 8368.680
709.7048, 8412.372
710.1870, 8433.260
710.6691, 8409.445
711.1512, 8375.040
711.6333, 8362.682
712.1154, 8363.069
712.5975, 8359.593
713.0797, 8333.689
713.5618, 8316.483
714.0439, 8324.373
714.5260, 8349.674
715.0081, 8366.393
715.4902, 8370.277
715.9724, 8371.523
716.4545, 8370.616
716.9366, 8369.276
717.4187, 8377.980
717.9008, 8397.194
718.3829, 8417.441
718.8651, 8434.138
719.3472, 8447.855
719.8293, 8460.556
720.3114, 8472.111
720.7935, 8481.435
721.2756, 8485.919
721.7578, 8489.184
722.2399, 8491.525
722.7220, 8490.367
723.2041, 8502.305
723.6862, 8543.422
724.1683, 8586.760
724.6505, 8613.649
725.1326, 8618.556
725.6147, 8628.028
726.0968, 8643.303
726.5789, 8661.221
727.0610, 8677.800
727.5432, 8693.729
728.0253, 8714.240
728.5074, 8743.821
728.9895, 8767.154
729.4716, 8763.769
729.9537, 8744.998
730.4359, 8728.896
730.9180, 8716.277
731.4001, 8713.131
731.8822, 8732.456
732.3643, 8760.983
732.8464, 8769.642
733.3285, 8755.030
733.8106, 8725.664
734.2927, 8676.729
734.7748, 8617.855
735.2570, 8576.524
735.7391, 8552.485
736.2212, 8538.749
736.7033, 8542.990
737.1854, 8548.751
737.6675, 8527.325
738.1497, 8483.518
738.6318, 8438.982
739.1139, 8406.592
739.5960, 8375.786
740.0781, 8335.005
740.5602, 8282.700
