##NAMES=Omphacite
##RRUFFID=R061129
##IDEAL CHEMISTRY=(Ca,Na)(Mg,Fe^2+^,Al)Si_2_O_6_
##LOCALITY=near Occidental, Sonoma County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Green granular massive associated with brown grossular and clinochlore
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061129
##MEASURED CHEMISTRY=(Ca_0.51_Na_0.48_)_Σ=0.99_(Mg_0.44_Al_0.44_Fe^2+^_0.14_Fe^3+^_0.02_)_Σ=1.04_Si_2.00_O_6_ ; (darker phase) : (Mg_2.52_Al_0.32_Fe^2+^_2.13_Mn_0.03_)_Σ=5_Al_0.94_(Si_3.00_Al_1.17_)O_10_(OH)_8_ ( lighter, secondary phase = clinochlore)
222.9809, 3453.133
223.4630, 3429.365
223.9451, 3396.541
224.4272, 3376.881
224.9093, 3376.806
225.3914, 3387.876
225.8736, 3387.155
226.3557, 3367.580
226.8378, 3346.988
227.3199, 3333.635
227.8020, 3332.206
228.2841, 3327.034
228.7663, 3315.036
229.2484, 3299.568
229.7305, 3291.310
230.2126, 3294.394
230.6947, 3299.052
231.1768, 3300.115
231.6590, 3295.027
232.1411, 3291.897
232.6232, 3291.357
233.1053, 3293.022
233.5874, 3295.994
234.0695, 3303.769
234.5517, 3308.245
235.0338, 3304.030
235.5159, 3285.677
235.9980, 3269.961
236.4801, 3257.369
236.9622, 3248.063
237.4444, 3242.639
237.9265, 3242.009
238.4086, 3244.142
238.8907, 3248.473
239.3728, 3258.068
239.8549, 3263.715
240.3371, 3265.479
240.8192, 3262.951
241.3013, 3252.505
241.7834, 3225.964
242.2655, 3201.352
242.7477, 3191.018
243.2298, 3202.560
243.7119, 3213.277
244.1940, 3221.589
244.6761, 3227.498
245.1582, 3230.480
245.6404, 3227.569
246.1225, 3225.287
246.6046, 3229.008
247.0867, 3243.833
247.5688, 3253.146
248.0509, 3251.052
248.5331, 3240.157
249.0152, 3243.471
249.4973, 3271.496
249.9794, 3300.814
250.4615, 3313.061
250.9436, 3297.171
251.4258, 3288.017
251.9079, 3292.672
252.3900, 3309.055
252.8721, 3316.430
253.3542, 3309.732
253.8363, 3300.575
254.3185, 3297.228
254.8006, 3300.479
255.2827, 3308.093
255.7648, 3321.385
256.2469, 3339.641
256.7290, 3354.638
257.2112, 3364.485
257.6933, 3373.945
258.1754, 3387.729
258.6575, 3410.495
259.1396, 3425.317
259.6217, 3424.951
260.1039, 3412.794
260.5860, 3421.269
261.0681, 3462.656
261.5502, 3505.545
262.0323, 3523.992
262.5144, 3508.106
262.9966, 3495.600
263.4787, 3490.651
263.9608, 3493.285
264.4429, 3505.862
264.9250, 3532.890
265.4071, 3561.926
265.8893, 3584.376
266.3714, 3599.868
266.8535, 3609.095
267.3356, 3610.626
267.8177, 3605.703
268.2998, 3600.861
268.7820, 3595.773
269.2641, 3591.549
269.7462, 3591.390
270.2283, 3598.582
270.7104, 3594.040
271.1925, 3569.895
271.6747, 3531.939
272.1568, 3510.109
272.6389, 3507.658
273.1210, 3512.220
273.6031, 3517.816
274.0852, 3526.516
274.5674, 3521.719
275.0495, 3496.944
275.5316, 3457.851
276.0137, 3425.361
276.4958, 3399.883
276.9779, 3379.615
277.4601, 3363.557
277.9422, 3351.964
278.4243, 3342.748
278.9064, 3335.560
279.3885, 3330.589
279.8706, 3328.380
280.3528, 3329.072
280.8349, 3331.792
281.3170, 3337.575
281.7991, 3346.443
282.2812, 3349.938
282.7633, 3343.608
283.2455, 3334.010
283.7276, 3340.296
284.2097, 3363.576
284.6918, 3390.875
285.1739, 3414.650
285.6560, 3434.901
286.1382, 3450.868
286.6203, 3460.914
287.1024, 3468.664
287.5845, 3483.249
288.0666, 3504.871
288.5487, 3524.985
289.0309, 3532.101
289.5130, 3530.350
289.9951, 3544.719
290.4772, 3583.672
290.9593, 3630.833
291.4414, 3650.771
291.9236, 3645.968
292.4057, 3645.529
292.8878, 3678.504
293.3699, 3731.962
293.8520, 3761.945
294.3341, 3758.623
294.8163, 3742.343
295.2984, 3741.228
295.7805, 3753.716
296.2626, 3770.612
296.7447, 3790.813
297.2268, 3811.022
297.7090, 3822.830
298.1911, 3823.964
298.6732, 3821.076
299.1553, 3818.772
299.6374, 3818.236
300.1195, 3823.913
300.6017, 3843.634
301.0838, 3869.579
301.5659, 3887.971
302.0480, 3896.557
302.5301, 3904.292
303.0122, 3920.253
303.4944, 3942.296
303.9765, 3965.470
304.4586, 3988.597
304.9407, 4010.625
305.4228, 4030.611
305.9049, 4048.252
306.3871, 4064.353
306.8692, 4075.057
307.3513, 4084.790
307.8334, 4101.595
308.3155, 4136.510
308.7976, 4175.263
309.2798, 4203.586
309.7619, 4220.226
310.2440, 4239.321
310.7261, 4268.403
311.2082, 4305.625
311.6903, 4348.680
312.1725, 4399.525
312.6546, 4454.226
313.1367, 4512.054
313.6188, 4572.598
314.1009, 4632.066
314.5830, 4688.614
315.0652, 4742.380
315.5473, 4794.245
316.0294, 4833.780
316.5115, 4881.013
316.9936, 4947.512
317.4757, 5031.826
317.9579, 5118.077
318.4400, 5198.531
318.9221, 5280.077
319.4042, 5367.117
319.8863, 5464.427
320.3684, 5564.273
320.8506, 5663.586
321.3327, 5763.273
321.8148, 5868.408
322.2969, 5979.779
322.7790, 6097.614
323.2611, 6220.898
323.7433, 6356.352
324.2254, 6490.097
324.7075, 6613.893
325.1896, 6733.250
325.6717, 6867.900
326.1538, 7033.653
326.6360, 7203.905
327.1181, 7368.745
327.6002, 7522.127
328.0823, 7673.748
328.5644, 7824.185
329.0465, 7972.827
329.5287, 8118.416
330.0108, 8264.225
330.4929, 8403.455
330.9750, 8536.404
331.4571, 8665.185
331.9392, 8778.331
332.4214, 8871.340
332.9035, 8950.195
333.3856, 9026.740
333.8677, 9112.680
334.3498, 9173.211
334.8319, 9194.018
335.3141, 9170.419
335.7962, 9141.930
336.2783, 9113.280
336.7604, 9073.603
337.2425, 9006.281
337.7246, 8904.910
338.2068, 8796.705
338.6889, 8687.015
339.1710, 8576.110
339.6531, 8460.965
340.1352, 8341.724
340.6173, 8219.263
341.0995, 8092.591
341.5816, 7962.250
342.0637, 7834.794
342.5458, 7710.162
343.0279, 7591.063
343.5100, 7490.651
343.9922, 7410.917
344.4743, 7334.424
344.9564, 7243.836
345.4385, 7141.681
345.9206, 7053.924
346.4027, 6989.046
346.8849, 6935.281
347.3670, 6872.662
347.8491, 6801.861
348.3312, 6729.730
348.8133, 6654.100
349.2954, 6581.648
349.7776, 6531.208
350.2597, 6510.942
350.7418, 6498.460
351.2239, 6465.203
351.7060, 6415.934
352.1881, 6368.608
352.6703, 6332.313
353.1524, 6304.049
353.6345, 6279.166
354.1166, 6257.048
354.5988, 6240.792
355.0809, 6235.983
355.5630, 6238.763
356.0451, 6242.220
356.5272, 6240.040
357.0093, 6239.604
357.4915, 6246.618
357.9736, 6261.363
358.4557, 6280.650
358.9378, 6295.253
359.4199, 6316.044
359.9020, 6355.228
360.3842, 6441.237
360.8663, 6523.910
361.3484, 6577.000
361.8305, 6603.794
362.3126, 6635.833
362.7947, 6679.088
363.2769, 6734.170
363.7590, 6802.152
364.2411, 6900.115
364.7232, 6991.398
365.2053, 7060.607
365.6874, 7115.817
366.1696, 7183.557
366.6517, 7285.728
367.1338, 7386.295
367.6159, 7470.021
368.0980, 7525.159
368.5801, 7582.857
369.0623, 7645.033
369.5444, 7709.609
370.0265, 7773.615
370.5086, 7842.800
370.9907, 7903.125
371.4728, 7949.890
371.9550, 7982.807
372.4371, 8004.795
372.9192, 8012.027
373.4013, 8012.375
373.8834, 8016.095
374.3655, 8026.224
374.8477, 8031.209
375.3298, 8028.544
375.8119, 8018.401
376.2940, 8002.420
376.7761, 7981.392
377.2582, 7952.656
377.7404, 7911.917
378.2225, 7858.175
378.7046, 7805.823
379.1867, 7758.859
379.6688, 7713.444
380.1509, 7657.956
380.6331, 7592.629
381.1152, 7524.820
381.5973, 7462.445
382.0794, 7402.552
382.5615, 7333.522
383.0436, 7250.371
383.5258, 7166.325
384.0079, 7101.623
384.4900, 7051.432
384.9721, 6993.723
385.4542, 6904.958
385.9363, 6805.281
386.4185, 6726.284
386.9006, 6670.524
387.3827, 6622.636
387.8648, 6577.502
388.3469, 6530.188
388.8290, 6473.201
389.3112, 6383.644
389.7933, 6297.991
390.2754, 6251.859
390.7575, 6241.733
391.2396, 6226.673
391.7217, 6174.605
392.2039, 6113.361
392.6860, 6068.288
393.1681, 6055.801
393.6502, 6047.083
394.1323, 6033.455
394.6144, 6015.905
395.0966, 5997.482
395.5787, 5973.167
396.0608, 5952.702
396.5429, 5942.966
397.0250, 5955.633
397.5071, 5954.590
397.9893, 5918.970
398.4714, 5871.417
398.9535, 5848.146
399.4356, 5870.890
399.9177, 5892.468
400.3998, 5899.790
400.8820, 5889.981
401.3641, 5892.527
401.8462, 5914.375
402.3283, 5941.485
402.8104, 5960.551
403.2925, 5967.854
403.7747, 5977.083
404.2568, 5991.271
404.7389, 6008.852
405.2210, 6022.524
405.7031, 6031.816
406.1852, 6038.793
406.6674, 6042.892
407.1495, 6043.992
407.6316, 6052.267
408.1137, 6070.937
408.5958, 6092.432
409.0779, 6107.449
409.5601, 6115.443
410.0422, 6109.299
410.5243, 6079.026
411.0064, 6032.413
411.4885, 5990.341
411.9706, 5953.909
412.4528, 5912.861
412.9349, 5858.578
413.4170, 5791.351
413.8991, 5712.684
414.3812, 5616.785
414.8633, 5514.073
415.3455, 5415.329
415.8276, 5318.908
416.3097, 5220.687
416.7918, 5110.182
417.2739, 4999.723
417.7560, 4901.951
418.2382, 4828.994
418.7203, 4749.945
419.2024, 4637.683
419.6845, 4507.822
420.1666, 4392.694
420.6487, 4313.139
421.1309, 4240.667
421.6130, 4161.916
422.0951, 4074.425
422.5772, 3988.453
423.0593, 3894.952
423.5414, 3808.589
424.0236, 3743.841
424.5057, 3729.107
424.9878, 3703.289
425.4699, 3652.961
425.9520, 3580.843
426.4341, 3517.515
426.9163, 3464.441
427.3984, 3418.250
427.8805, 3377.698
428.3626, 3344.412
428.8447, 3311.622
429.3268, 3278.636
429.8090, 3246.550
430.2911, 3217.596
430.7732, 3191.843
431.2553, 3168.887
431.7374, 3150.374
432.2195, 3135.501
432.7017, 3114.388
433.1838, 3085.634
433.6659, 3057.943
434.1480, 3044.720
434.6301, 3042.353
435.1122, 3031.527
435.5944, 3000.215
436.0765, 2963.585
436.5586, 2948.549
437.0407, 2952.392
437.5228, 2956.266
438.0049, 2948.218
438.4871, 2932.295
438.9692, 2912.027
439.4513, 2885.840
439.9334, 2862.263
440.4155, 2849.088
440.8976, 2842.580
441.3798, 2835.844
441.8619, 2824.341
442.3440, 2813.382
442.8261, 2804.767
443.3082, 2798.542
443.7903, 2796.634
444.2725, 2804.102
444.7546, 2813.744
445.2367, 2819.577
445.7188, 2819.979
446.2009, 2817.553
446.6830, 2812.740
447.1652, 2805.332
447.6473, 2794.162
448.1294, 2774.281
448.6115, 2756.533
449.0936, 2745.531
449.5757, 2742.130
450.0579, 2742.445
450.5400, 2747.726
451.0221, 2755.239
451.5042, 2760.107
451.9863, 2760.853
452.4684, 2767.967
452.9506, 2789.919
453.4327, 2819.982
453.9148, 2823.322
454.3969, 2797.483
454.8790, 2770.643
455.3611, 2769.273
455.8433, 2786.782
456.3254, 2796.529
456.8075, 2792.366
457.2896, 2784.039
457.7717, 2783.665
458.2538, 2789.746
458.7360, 2797.364
459.2181, 2803.676
459.7002, 2810.526
460.1823, 2819.948
460.6644, 2832.147
461.1465, 2845.608
461.6287, 2863.276
462.1108, 2880.249
462.5929, 2891.448
463.0750, 2886.804
463.5571, 2885.672
464.0392, 2901.899
464.5214, 2928.589
465.0035, 2941.061
465.4856, 2918.560
465.9677, 2893.604
466.4498, 2881.354
466.9319, 2890.556
467.4141, 2890.939
467.8962, 2876.040
468.3783, 2856.214
468.8604, 2844.897
469.3425, 2848.088
469.8246, 2847.115
470.3068, 2837.481
470.7889, 2820.488
471.2710, 2803.429
471.7531, 2785.773
472.2352, 2770.116
472.7173, 2758.691
473.1995, 2751.398
473.6816, 2745.787
474.1637, 2742.724
474.6458, 2738.564
475.1279, 2723.006
475.6100, 2699.307
476.0922, 2684.833
476.5743, 2700.913
477.0564, 2725.677
477.5385, 2717.054
478.0206, 2677.014
478.5027, 2643.732
478.9849, 2651.047
479.4670, 2678.453
479.9491, 2701.974
480.4312, 2714.309
480.9133, 2724.372
481.3954, 2737.962
481.8776, 2752.781
482.3597, 2764.188
482.8418, 2768.445
483.3239, 2770.971
483.8060, 2773.329
484.2881, 2775.356
484.7703, 2779.178
485.2524, 2788.996
485.7345, 2798.243
486.2166, 2801.764
486.6987, 2796.140
487.1808, 2790.449
487.6630, 2783.357
488.1451, 2777.245
488.6272, 2780.844
489.1093, 2796.780
489.5914, 2814.651
490.0735, 2830.350
490.5557, 2843.822
491.0378, 2854.387
491.5199, 2861.697
492.0020, 2867.538
492.4841, 2877.694
492.9662, 2889.677
493.4484, 2888.944
493.9305, 2864.230
494.4126, 2833.747
494.8947, 2823.449
495.3768, 2831.376
495.8589, 2848.698
496.3411, 2882.082
496.8232, 2915.852
497.3053, 2930.446
497.7874, 2920.405
498.2695, 2912.878
498.7516, 2924.727
499.2338, 2946.581
499.7159, 2967.869
500.1980, 2982.140
500.6801, 2998.834
501.1622, 3023.018
501.6443, 3052.922
502.1265, 3078.686
502.6086, 3087.657
503.0907, 3103.739
503.5728, 3138.911
504.0549, 3204.656
504.5370, 3254.944
505.0192, 3281.523
505.5013, 3301.329
505.9834, 3339.597
506.4655, 3401.983
506.9476, 3452.932
507.4297, 3479.220
507.9119, 3490.672
508.3940, 3521.339
508.8761, 3572.105
509.3582, 3625.056
509.8403, 3669.566
510.3224, 3706.587
510.8046, 3736.886
511.2867, 3759.842
511.7688, 3780.386
512.2509, 3804.026
512.7330, 3828.735
513.2151, 3850.442
513.6973, 3874.583
514.1794, 3889.399
514.6615, 3885.879
515.1436, 3865.955
515.6257, 3838.440
516.1078, 3810.103
516.5900, 3772.496
517.0721, 3718.083
517.5542, 3635.741
518.0363, 3564.425
518.5184, 3509.750
519.0005, 3467.591
519.4827, 3433.852
519.9648, 3413.610
520.4469, 3392.295
520.9290, 3362.853
521.4111, 3330.319
521.8932, 3322.022
522.3754, 3344.278
522.8575, 3368.492
523.3396, 3375.633
523.8217, 3367.045
524.3038, 3368.522
524.7859, 3381.917
525.2681, 3400.612
525.7502, 3417.556
526.2323, 3433.467
526.7144, 3450.256
527.1965, 3466.837
527.6786, 3486.300
528.1608, 3516.136
528.6429, 3552.707
529.1250, 3584.687
529.6071, 3595.701
530.0892, 3606.349
530.5714, 3634.133
531.0535, 3683.837
531.5356, 3730.681
532.0177, 3760.370
532.4998, 3785.903
532.9819, 3818.916
533.4641, 3868.282
533.9462, 3917.168
534.4283, 3968.448
534.9104, 4018.385
535.3925, 4054.541
535.8746, 4070.419
536.3568, 4085.554
536.8389, 4109.156
537.3210, 4141.551
537.8031, 4163.489
538.2852, 4172.108
538.7673, 4181.032
539.2495, 4210.426
539.7316, 4255.859
540.2137, 4282.741
540.6958, 4279.705
541.1779, 4266.043
541.6600, 4266.101
542.1422, 4277.811
542.6243, 4294.346
543.1064, 4318.967
543.5885, 4342.531
544.0706, 4354.015
544.5527, 4353.650
545.0349, 4356.806
545.5170, 4374.745
545.9991, 4396.699
546.4812, 4414.061
546.9633, 4419.966
547.4454, 4430.150
547.9276, 4450.964
548.4097, 4476.331
548.8918, 4496.633
549.3739, 4508.781
549.8560, 4520.729
550.3381, 4533.396
550.8203, 4547.034
551.3024, 4566.050
551.7845, 4593.706
552.2666, 4616.195
552.7487, 4624.023
553.2308, 4617.838
553.7130, 4601.205
554.1951, 4571.624
554.6772, 4543.995
555.1593, 4536.984
555.6414, 4546.443
556.1235, 4561.580
556.6057, 4587.621
557.0878, 4607.930
557.5699, 4601.646
558.0520, 4574.973
558.5341, 4549.117
559.0162, 4540.520
559.4984, 4530.996
559.9805, 4506.691
560.4626, 4462.857
560.9447, 4426.782
561.4268, 4413.667
561.9089, 4404.577
562.3911, 4383.577
562.8732, 4342.074
563.3553, 4302.855
563.8374, 4268.340
564.3195, 4236.720
564.8016, 4202.875
565.2838, 4166.167
565.7659, 4131.765
566.2480, 4104.783
566.7301, 4081.977
567.2122, 4043.603
567.6943, 3989.236
568.1765, 3932.544
568.6586, 3883.887
569.1407, 3840.851
569.6228, 3799.030
570.1049, 3758.194
570.5870, 3718.278
571.0692, 3681.654
571.5513, 3646.097
572.0334, 3607.088
572.5155, 3555.594
572.9976, 3508.193
573.4797, 3472.543
573.9619, 3447.011
574.4440, 3425.199
574.9261, 3403.042
575.4082, 3387.349
575.8903, 3382.331
576.3724, 3390.493
576.8546, 3395.247
577.3367, 3395.373
577.8188, 3393.912
578.3009, 3393.280
578.7830, 3393.437
579.2651, 3395.968
579.7473, 3403.018
580.2294, 3408.902
580.7115, 3399.264
581.1936, 3377.305
581.6757, 3361.670
582.1578, 3363.662
582.6400, 3375.169
583.1221, 3386.967
583.6042, 3398.858
584.0863, 3410.116
584.5684, 3415.783
585.0505, 3423.470
585.5327, 3441.286
586.0148, 3475.237
586.4969, 3502.987
586.9790, 3513.514
587.4611, 3516.986
587.9432, 3525.070
588.4254, 3544.521
588.9075, 3558.485
589.3896, 3561.084
589.8717, 3558.139
590.3538, 3568.406
590.8359, 3595.395
591.3181, 3623.000
591.8002, 3645.938
592.2823, 3664.296
592.7644, 3677.713
593.2465, 3686.212
593.7286, 3691.195
594.2108, 3685.719
594.6929, 3679.076
595.1750, 3694.064
595.6571, 3740.142
596.1392, 3783.450
596.6213, 3793.237
597.1035, 3785.343
597.5856, 3782.660
598.0677, 3803.550
598.5498, 3819.826
599.0319, 3817.898
599.5140, 3802.483
599.9962, 3794.013
600.4783, 3803.232
600.9604, 3808.509
601.4426, 3800.949
601.9247, 3779.306
602.4068, 3763.589
602.8889, 3755.512
603.3710, 3749.844
603.8531, 3745.157
604.3353, 3740.898
604.8174, 3725.938
605.2995, 3698.000
605.7816, 3663.298
606.2637, 3625.475
606.7458, 3587.471
607.2280, 3555.483
607.7101, 3539.763
608.1922, 3523.541
608.6743, 3488.626
609.1564, 3440.680
609.6385, 3400.055
610.1207, 3384.022
610.6028, 3369.577
611.0849, 3344.352
611.5670, 3305.008
612.0491, 3271.047
612.5313, 3246.696
613.0134, 3224.621
613.4955, 3199.224
613.9776, 3167.452
614.4597, 3144.241
614.9418, 3133.470
615.4240, 3126.692
615.9061, 3112.085
616.3882, 3089.898
616.8703, 3063.092
617.3524, 3029.839
617.8345, 2995.539
618.3167, 2969.902
618.7988, 2951.785
619.2809, 2937.283
619.7630, 2929.225
620.2451, 2920.286
620.7272, 2901.704
621.2094, 2873.094
621.6915, 2851.023
622.1736, 2851.207
622.6557, 2853.399
623.1378, 2843.189
623.6199, 2807.897
624.1021, 2784.417
624.5842, 2778.892
625.0663, 2779.928
625.5484, 2772.234
626.0305, 2753.118
626.5126, 2737.921
626.9948, 2729.608
627.4769, 2726.576
627.9590, 2726.801
628.4411, 2729.813
628.9232, 2731.516
629.4053, 2724.890
629.8875, 2718.258
630.3696, 2729.113
630.8517, 2754.719
631.3338, 2769.487
631.8159, 2743.237
632.2980, 2710.543
632.7802, 2699.164
633.2623, 2720.435
633.7444, 2736.129
634.2265, 2732.763
634.7086, 2724.374
635.1907, 2723.284
635.6729, 2731.738
636.1550, 2743.382
636.6371, 2759.679
637.1192, 2776.931
637.6013, 2784.652
638.0834, 2781.883
638.5656, 2787.875
639.0477, 2814.800
639.5298, 2850.953
640.0119, 2867.706
640.4940, 2868.077
640.9761, 2870.565
641.4583, 2891.320
641.9404, 2916.958
642.4225, 2931.312
642.9046, 2932.647
643.3867, 2942.534
643.8688, 2979.624
644.3510, 3022.387
644.8331, 3055.582
645.3152, 3071.384
645.7973, 3085.830
646.2794, 3093.302
646.7615, 3103.737
647.2437, 3132.933
647.7258, 3186.129
648.2079, 3231.685
648.6900, 3262.033
649.1721, 3282.618
649.6542, 3297.637
650.1364, 3309.484
650.6185, 3336.011
651.1006, 3399.515
651.5827, 3474.689
652.0648, 3527.888
652.5469, 3562.018
653.0291, 3599.417
653.5112, 3655.414
653.9933, 3717.203
654.4754, 3774.487
654.9575, 3822.619
655.4396, 3882.855
655.9218, 3967.732
656.4039, 4059.273
656.8860, 4143.354
657.3681, 4210.400
657.8502, 4296.546
658.3323, 4405.331
658.8145, 4530.755
659.2966, 4659.957
659.7787, 4793.782
660.2608, 4945.971
660.7429, 5125.259
661.2250, 5318.332
661.7072, 5497.675
662.1893, 5674.875
662.6714, 5886.390
663.1535, 6160.805
663.6356, 6467.316
664.1177, 6789.512
664.5999, 7124.454
665.0820, 7478.547
665.5641, 7850.382
666.0462, 8244.556
666.5283, 8657.896
667.0104, 9083.330
667.4926, 9569.035
667.9747, 10129.32
668.4568, 10716.70
668.9389, 11275.82
669.4210, 11810.44
669.9031, 12367.59
670.3853, 12953.30
670.8674, 13566.64
671.3495, 14236.62
671.8316, 14942.49
672.3137, 15625.83
672.7958, 16258.96
673.2780, 16872.95
673.7601, 17493.35
674.2422, 18111.10
674.7243, 18695.09
675.2064, 19242.54
675.6885, 19759.19
676.1707, 20254.36
676.6528, 20723.96
677.1349, 21102.95
677.6170, 21399.00
678.0991, 21581.65
678.5812, 21635.77
679.0634, 21561.81
679.5455, 21360.99
680.0276, 21030.22
680.5097, 20585.93
680.9918, 20025.06
681.4739, 19362.65
681.9561, 18633.65
682.4382, 17831.91
682.9203, 16992.47
683.4024, 16086.72
683.8845, 15170.78
684.3666, 14294.77
684.8488, 13455.61
685.3309, 12667.32
685.8130, 11935.46
686.2951, 11248.61
686.7772, 10588.47
687.2593, 9936.044
687.7415, 9341.112
688.2236, 8825.124
688.7057, 8369.896
689.1878, 7949.105
689.6699, 7562.571
690.1520, 7206.914
690.6342, 6879.170
691.1163, 6577.177
691.5984, 6303.840
692.0805, 6056.951
692.5626, 5822.192
693.0447, 5583.507
693.5269, 5363.123
694.0090, 5182.357
694.4911, 5049.361
694.9732, 4911.695
695.4553, 4748.062
695.9374, 4589.007
696.4196, 4453.389
696.9017, 4346.416
697.3838, 4244.896
697.8659, 4148.006
698.3480, 4057.810
698.8301, 3978.958
699.3123, 3909.626
699.7944, 3840.642
700.2765, 3768.843
700.7586, 3699.059
701.2407, 3637.379
701.7228, 3581.476
702.2050, 3527.037
702.6871, 3471.110
703.1692, 3417.654
703.6513, 3363.464
704.1334, 3311.970
704.6155, 3275.970
705.0977, 3271.946
705.5798, 3258.974
706.0619, 3220.209
706.5440, 3162.377
707.0261, 3135.043
707.5082, 3142.504
707.9904, 3149.726
708.4725, 3135.667
708.9546, 3106.137
709.4367, 3076.852
709.9188, 3048.109
710.4009, 3017.167
710.8831, 2975.215
711.3652, 2934.773
711.8473, 2906.377
712.3294, 2891.458
712.8115, 2888.662
713.2936, 2919.657
713.7758, 2947.873
714.2579, 2942.110
714.7400, 2877.426
715.2221, 2836.510
