##NAMES=Spinel
##RRUFFID=X080014
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted blue gemstone, 7.90 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080014
213.4655, 2289.758
213.9476, 2293.765
214.4297, 2294.178
214.9118, 2289.031
215.3939, 2281.168
215.8760, 2277.875
216.3581, 2280.967
216.8403, 2284.931
217.3224, 2287.118
217.8045, 2286.974
218.2866, 2286.673
218.7687, 2286.077
219.2508, 2285.354
219.7330, 2285.127
220.2151, 2285.812
220.6972, 2286.089
221.1793, 2285.115
221.6614, 2282.055
222.1435, 2279.849
222.6257, 2278.725
223.1078, 2278.399
223.5899, 2278.237
224.0720, 2278.843
224.5541, 2278.679
225.0362, 2276.782
225.5184, 2272.008
226.0005, 2268.516
226.4826, 2266.714
226.9647, 2266.206
227.4468, 2265.912
227.9289, 2266.313
228.4111, 2266.304
228.8932, 2265.255
229.3753, 2262.469
229.8574, 2260.460
230.3395, 2259.634
230.8216, 2259.557
231.3038, 2258.995
231.7859, 2257.700
232.2680, 2256.256
232.7501, 2254.801
233.2322, 2252.883
233.7143, 2251.947
234.1965, 2252.257
234.6786, 2253.466
235.1607, 2254.654
235.6428, 2255.768
236.1249, 2256.864
236.6070, 2258.057
237.0892, 2259.832
237.5713, 2260.471
238.0534, 2259.445
238.5355, 2257.391
239.0176, 2256.010
239.4997, 2255.746
239.9819, 2255.478
240.4640, 2254.749
240.9461, 2253.459
241.4282, 2251.874
241.9103, 2249.490
242.3924, 2246.990
242.8746, 2246.214
243.3567, 2248.608
243.8388, 2250.574
244.3209, 2250.390
244.8030, 2246.604
245.2851, 2244.732
245.7673, 2245.634
246.2494, 2248.134
246.7315, 2249.662
247.2136, 2249.730
247.6957, 2249.635
248.1778, 2250.010
248.6600, 2251.361
249.1421, 2251.446
249.6242, 2249.045
250.1063, 2246.015
250.5884, 2246.341
251.0705, 2252.308
251.5527, 2257.704
252.0348, 2260.026
252.5169, 2258.300
252.9990, 2256.991
253.4811, 2255.990
253.9632, 2255.433
254.4454, 2255.757
254.9275, 2257.712
255.4096, 2259.080
255.8917, 2258.926
256.3738, 2256.796
256.8560, 2255.222
257.3381, 2254.244
257.8202, 2253.783
258.3023, 2253.886
258.7844, 2255.116
259.2665, 2255.698
259.7487, 2254.892
260.2308, 2252.433
260.7129, 2250.427
261.1950, 2248.853
261.6771, 2247.743
262.1592, 2247.120
262.6414, 2246.922
263.1235, 2247.401
263.6056, 2248.861
264.0877, 2251.423
264.5698, 2253.274
265.0519, 2254.188
265.5341, 2254.704
266.0162, 2255.437
266.4983, 2256.416
266.9804, 2257.608
267.4625, 2259.535
267.9446, 2262.141
268.4268, 2261.738
268.9089, 2257.036
269.3910, 2251.626
269.8731, 2249.582
270.3552, 2251.940
270.8373, 2253.405
271.3195, 2252.299
271.8016, 2249.004
272.2837, 2247.771
272.7658, 2249.069
273.2479, 2251.321
273.7300, 2253.054
274.2122, 2254.106
274.6943, 2255.821
275.1764, 2259.142
275.6585, 2263.352
276.1406, 2263.795
276.6227, 2259.298
277.1049, 2254.979
277.5870, 2255.619
278.0691, 2261.724
278.5512, 2267.111
279.0333, 2270.914
279.5154, 2273.276
279.9976, 2274.293
280.4797, 2273.713
280.9618, 2273.073
281.4439, 2273.436
281.9260, 2274.796
282.4081, 2276.595
282.8903, 2279.097
283.3724, 2281.599
283.8545, 2281.822
284.3366, 2279.489
284.8187, 2277.773
285.3008, 2278.880
285.7830, 2282.646
286.2651, 2287.263
286.7472, 2293.048
287.2293, 2298.769
287.7114, 2301.850
288.1935, 2302.302
288.6757, 2302.348
289.1578, 2303.224
289.6399, 2304.757
290.1220, 2306.071
290.6041, 2307.112
291.0862, 2307.928
291.5684, 2308.478
292.0505, 2308.793
292.5326, 2309.194
293.0147, 2309.970
293.4968, 2310.959
293.9789, 2311.895
294.4611, 2312.870
294.9432, 2313.217
295.4253, 2311.442
295.9074, 2308.112
296.3895, 2305.660
296.8716, 2305.734
297.3538, 2307.239
297.8359, 2308.010
298.3180, 2308.047
298.8001, 2307.652
299.2822, 2306.870
299.7643, 2305.855
300.2465, 2305.027
300.7286, 2304.677
301.2107, 2304.503
301.6928, 2304.176
302.1749, 2303.695
302.6570, 2302.934
303.1392, 2301.517
303.6213, 2299.803
304.1034, 2298.426
304.5855, 2297.495
305.0676, 2297.048
305.5497, 2297.570
306.0319, 2298.808
306.5140, 2299.478
306.9961, 2297.815
307.4782, 2295.425
307.9603, 2294.298
308.4424, 2295.345
308.9246, 2296.860
309.4067, 2297.433
309.8888, 2297.356
310.3709, 2297.521
310.8530, 2298.945
311.3351, 2300.497
311.8173, 2301.347
312.2994, 2301.509
312.7815, 2300.521
313.2636, 2296.453
313.7457, 2291.197
314.2278, 2288.147
314.7100, 2291.041
315.1921, 2295.003
315.6742, 2297.159
316.1563, 2297.052
316.6384, 2296.306
317.1205, 2295.176
317.6027, 2293.942
318.0848, 2292.958
318.5669, 2292.827
319.0490, 2292.517
319.5311, 2291.339
320.0132, 2289.200
320.4954, 2287.633
320.9775, 2286.718
321.4596, 2286.704
321.9417, 2287.827
322.4238, 2291.839
322.9059, 2295.201
323.3881, 2297.189
323.8702, 2297.805
324.3523, 2297.513
324.8344, 2294.582
325.3165, 2291.962
325.7986, 2291.373
326.2808, 2296.308
326.7629, 2299.363
327.2450, 2298.523
327.7271, 2295.063
328.2092, 2294.006
328.6913, 2298.433
329.1735, 2302.592
329.6556, 2304.132
330.1377, 2301.054
330.6198, 2299.145
331.1019, 2299.194
331.5840, 2300.141
332.0662, 2299.871
332.5483, 2296.996
333.0304, 2294.825
333.5125, 2294.569
333.9946, 2296.604
334.4767, 2298.465
334.9589, 2300.306
335.4410, 2301.782
335.9231, 2302.339
336.4052, 2301.606
336.8873, 2300.983
337.3694, 2301.044
337.8516, 2301.714
338.3336, 2301.268
338.8158, 2299.446
339.2979, 2297.156
339.7800, 2295.197
340.2621, 2293.680
340.7442, 2291.973
341.2263, 2289.716
341.7085, 2287.382
342.1906, 2287.351
342.6727, 2290.154
343.1548, 2291.979
343.6369, 2289.152
344.1190, 2282.069
344.6012, 2277.213
345.0833, 2275.685
345.5654, 2275.852
346.0475, 2274.825
346.5296, 2272.677
347.0117, 2270.758
347.4939, 2270.014
347.9760, 2270.079
348.4581, 2269.954
348.9402, 2269.657
349.4223, 2268.776
349.9044, 2266.407
350.3866, 2262.960
350.8687, 2259.814
351.3508, 2257.941
351.8329, 2256.511
352.3150, 2253.856
352.7971, 2250.020
353.2793, 2246.712
353.7614, 2245.881
354.2435, 2246.298
354.7256, 2245.872
355.2077, 2243.279
355.6898, 2240.528
356.1720, 2239.527
356.6541, 2239.953
357.1362, 2240.407
357.6183, 2241.118
358.1004, 2240.946
358.5826, 2238.437
359.0647, 2232.228
359.5468, 2226.482
360.0289, 2223.766
360.5110, 2223.065
360.9931, 2222.441
361.4753, 2221.647
361.9574, 2220.349
362.4395, 2217.972
362.9216, 2214.147
363.4037, 2211.375
363.8858, 2211.815
364.3680, 2213.154
364.8501, 2212.954
365.3322, 2209.089
365.8143, 2205.353
366.2964, 2202.474
366.7785, 2200.490
367.2607, 2199.434
367.7428, 2199.437
368.2249, 2200.304
368.7070, 2201.981
369.1891, 2206.619
369.6712, 2209.130
370.1534, 2208.034
370.6355, 2204.648
371.1176, 2203.208
371.5997, 2205.119
372.0818, 2207.053
372.5639, 2207.400
373.0461, 2205.058
373.5282, 2204.720
374.0103, 2207.207
374.4924, 2210.845
374.9745, 2213.011
375.4566, 2213.266
375.9388, 2213.499
376.4209, 2214.393
376.9030, 2215.902
377.3851, 2216.581
377.8672, 2216.250
378.3493, 2215.888
378.8315, 2216.419
379.3136, 2217.894
