##NAMES=Henmilite
##RRUFFID=R060257
##IDEAL CHEMISTRY=Ca_2_Cu^2+^[B(OH)_4_]_2_(OH)_4_
##LOCALITY=Fuka mine, Okayama Prefecture, Honshu Island, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Deep blue prismatic pinacoidal crystals with a melted looking exterior
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060257
##MEASURED CHEMISTRY=Ca_1.94_Cu_1.06_[B(OH)_4_]_2_(OH)_4_ ; B, H not measured but assumed by stoichiometry
510.9735, 43.86633
511.4556, 45.54511
511.9377, 48.26869
512.4199, 50.27964
512.9020, 49.60851
513.3841, 47.86547
513.8662, 47.01515
514.3483, 47.43367
514.8304, 48.24607
515.3126, 49.02025
515.7947, 49.83289
516.2768, 50.79253
516.7589, 52.97701
517.2410, 54.21701
517.7231, 52.99141
518.2053, 49.95382
518.6874, 48.31556
519.1695, 49.41463
519.6516, 51.11924
520.1337, 52.79316
520.6158, 54.49926
521.0980, 55.83095
521.5801, 56.32150
522.0622, 57.04110
522.5443, 59.30192
523.0264, 63.42847
523.5085, 67.27616
523.9907, 70.73015
524.4728, 73.40807
524.9549, 74.05835
525.4370, 72.76267
525.9191, 71.51872
526.4012, 70.67507
526.8834, 70.74113
527.3655, 73.28091
527.8476, 78.23569
528.3297, 83.65730
528.8118, 89.40200
529.2939, 94.13530
529.7761, 95.68748
530.2582, 92.08367
530.7403, 88.75767
531.2224, 88.64766
531.7045, 90.82578
532.1866, 93.75729
532.6688, 98.28929
533.1509, 102.2361
533.6330, 104.6065
534.1151, 105.4440
534.5972, 106.9423
535.0793, 109.5457
535.5615, 112.3865
536.0436, 115.3157
536.5257, 118.9811
537.0078, 120.1320
537.4899, 117.6031
537.9720, 114.4084
538.4542, 114.7318
538.9363, 118.8068
539.4184, 122.5082
539.9005, 124.7931
540.3826, 126.2508
540.8647, 128.2021
541.3469, 130.5218
541.8290, 132.2346
542.3111, 131.9850
542.7932, 131.1419
543.2753, 132.3141
543.7574, 135.5467
544.2396, 137.8132
544.7217, 136.1803
545.2038, 132.9311
545.6859, 130.4673
546.1680, 130.1890
546.6501, 129.1848
547.1323, 125.3270
547.6144, 120.3186
548.0965, 117.0556
548.5786, 118.7092
549.0607, 119.0794
549.5428, 116.4765
550.0250, 111.2206
550.5071, 106.8556
550.9892, 104.2364
551.4713, 100.9497
551.9534, 94.74960
552.4355, 84.98878
552.9177, 79.64980
553.3998, 79.65598
