##NAMES=Henmilite
##RRUFFID=R060257
##IDEAL CHEMISTRY=Ca_2_Cu^2+^[B(OH)_4_]_2_(OH)_4_
##LOCALITY=Fuka mine, Okayama Prefecture, Honshu Island, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Deep blue prismatic pinacoidal crystals with a melted looking exterior
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060257
##MEASURED CHEMISTRY=Ca_1.94_Cu_1.06_[B(OH)_4_]_2_(OH)_4_ ; B, H not measured but assumed by stoichiometry
1250.540, 41.20028
1251.023, 39.72741
1251.505, 41.72168
1251.987, 44.86029
1252.469, 45.10504
1252.951, 43.71785
1253.433, 43.72168
1253.915, 45.39870
1254.397, 47.41712
1254.880, 50.88271
1255.362, 51.83021
1255.844, 48.61818
1256.326, 44.49668
1256.808, 43.34112
1257.290, 44.68915
1257.772, 49.00822
1258.254, 55.84557
1258.736, 59.42189
1259.219, 57.59965
1259.701, 56.49055
1260.183, 57.39286
1260.665, 58.62215
1261.147, 57.65969
1261.629, 56.20613
1262.111, 56.50203
1262.593, 58.49224
1263.075, 60.34959
1263.558, 62.22798
1264.040, 62.49661
1264.522, 60.46351
1265.004, 59.25193
1265.486, 63.71261
1265.968, 68.95548
1266.450, 70.45119
1266.932, 68.52874
1267.415, 65.74792
1267.897, 61.79672
1268.379, 61.06749
1268.861, 64.46378
1269.343, 67.30843
1269.825, 65.09628
1270.307, 61.77534
1270.789, 59.66677
1271.271, 58.62568
1271.754, 58.36955
1272.236, 58.90514
1272.718, 60.92022
1273.200, 64.43465
1273.682, 66.33231
1274.164, 62.95810
1274.646, 59.52361
1275.128, 58.78714
1275.610, 58.77520
1276.093, 55.21550
1276.575, 49.53925
1277.057, 48.38249
1277.539, 51.91211
1278.021, 54.59346
1278.503, 53.18980
1278.985, 51.34364
1279.467, 49.51627
1279.950, 48.24745
1280.432, 49.03268
1280.914, 50.54964
1281.396, 49.39232
1281.878, 45.88471
1282.360, 43.35314
1282.842, 43.72899
1283.324, 42.96862
1283.807, 40.26456
1284.289, 37.56300
1284.771, 37.19517
1285.253, 37.83460
1285.735, 37.49485
1286.217, 36.57024
1286.699, 37.09473
1287.181, 39.95479
1287.663, 40.97822
1288.146, 39.64895
1288.628, 37.96861
1289.110, 37.99368
1289.592, 38.02906
1290.074, 36.11660
1290.556, 33.32891
1291.038, 32.00926
1291.520, 32.27339
1292.002, 32.35129
1292.485, 32.14866
1292.967, 31.63406
1293.449, 30.44733
1293.931, 29.33103
1294.413, 28.50814
1294.895, 28.11181
1295.377, 28.51231
1295.859, 29.56418
1296.342, 30.40936
1296.824, 30.93671
1297.306, 30.68787
1297.788, 27.50983
1298.270, 26.54064
1298.752, 29.59582
1299.234, 33.26386
1299.716, 35.02377
1300.198, 34.98970
1300.681, 32.36739
1301.163, 28.26395
1301.645, 25.58117
1302.127, 25.04533
##END=



