##NAMES=Bastnasite-(Ce)
##RRUFFID=R050409
##IDEAL CHEMISTRY=CeCO_3_F
##LOCALITY=Machni, near Warsak Dam, Zagi Mountain, North-West Frontier Province, Pakistan
##OWNER=RRUFF
##SOURCE=G.R. Rossman
##DESCRIPTION=Yellowish brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050409
##MEASURED CHEMISTRY=(Ce_0.54_(La,Pr)_0.25_Nd_0.21_)_Σ=1_CO_3_F_1.00_
517.627, 2382.000
518.954, 2449.000
520.280, 2409.000
521.607, 2452.000
522.933, 2447.000
524.259, 2486.000
525.584, 2419.000
526.910, 2513.000
528.235, 2463.000
529.560, 2450.000
530.885, 2453.000
532.209, 2501.000
533.534, 2504.000
534.858, 2481.000
536.182, 2477.000
537.506, 2484.000
538.829, 2505.000
540.152, 2480.000
541.476, 2503.000
542.799, 2495.000
544.121, 2563.000
545.444, 2489.000
546.766, 2523.000
548.088, 2584.000
549.410, 2496.000
550.732, 2570.000
552.053, 2537.000
553.375, 2527.000
554.696, 2546.000
556.017, 2491.000
557.337, 2529.000
558.658, 2511.000
559.978, 2535.000
561.298, 2567.000
562.618, 2481.000
563.938, 2554.000
565.257, 2512.000
566.576, 2544.000
567.895, 2588.000
569.214, 2546.000
570.533, 2593.000
571.851, 2570.000
573.170, 2566.000
574.488, 2557.000
575.805, 2568.000
577.123, 2585.000
578.440, 2626.000
579.758, 2540.000
581.075, 2568.000
582.391, 2609.000
583.708, 2611.000
585.024, 2681.000
586.341, 2672.000
587.657, 2679.000
588.972, 2683.000
590.288, 2748.000
591.603, 2738.000
592.918, 2703.000
594.233, 2745.000
595.548, 2710.000
596.863, 2800.000
598.177, 2759.000
599.491, 2777.000
600.805, 2801.000
602.119, 2830.000
603.432, 2835.000
604.746, 2844.000
606.059, 2863.000
607.372, 2833.000
608.685, 2867.000
609.997, 2802.000
611.309, 2821.000
612.621, 2781.000
613.933, 2753.000
615.245, 2731.000
616.557, 2738.000
617.868, 2676.000
619.179, 2685.000
620.490, 2706.000
621.801, 2657.000
623.111, 2663.000
624.421, 2680.000
625.731, 2648.000
627.041, 2674.000
628.351, 2640.000
629.660, 2705.000
630.970, 2681.000
632.279, 2647.000
633.588, 2672.000
634.896, 2662.000
636.205, 2693.000
637.513, 2708.000
638.821, 2674.000
640.129, 2659.000
641.437, 2674.000
642.744, 2682.000
644.051, 2675.000
645.358, 2689.000
646.665, 2711.000
647.972, 2717.000
649.278, 2707.000
650.584, 2674.000
651.890, 2738.000
653.196, 2688.000
654.502, 2750.000
655.807, 2773.000
657.113, 2754.000
658.418, 2790.000
659.722, 2810.000
661.027, 2867.000
662.331, 2861.000
663.636, 2951.000
664.940, 2954.000
666.244, 2968.000
667.547, 2965.000
668.851, 2936.000
670.154, 2908.000
671.457, 2924.000
672.760, 2896.000
674.062, 2935.000
675.365, 2917.000
676.667, 2952.000
677.969, 3010.000
679.271, 2990.000
680.572, 2994.000
681.874, 3052.000
683.175, 3143.000
684.476, 3307.000
685.777, 3584.000
687.077, 3589.000
688.378, 3393.000
689.678, 3164.000
690.978, 3123.000
692.278, 3157.000
693.577, 3166.000
694.877, 3044.000
696.176, 3166.000
697.475, 3079.000
