##NAMES=Shigaite
##RRUFFID=R080090
##IDEAL CHEMISTRY=NaAl_3_Mn^2+^_6_(S^6+^O_4_)_2_(OH)_18_&#183;12H_2_O
##LOCALITY=Ioi Mine, Shiga Prefecture, Kinki Region, Honshu Island, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Semi-transparent, dull-yellow to pale yellow coating
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080090
402.3546, 144.7202
402.8367, 144.9445
403.3188, 145.2692
403.8009, 145.7256
404.2830, 146.2656
404.7651, 146.8170
405.2473, 147.4597
405.7294, 147.8661
406.2115, 147.7540
406.6936, 147.0970
407.1757, 147.0106
407.6578, 147.6447
408.1400, 148.4466
408.6221, 148.7218
409.1042, 148.4843
409.5863, 148.3611
410.0684, 148.5463
410.5505, 148.9282
411.0327, 149.2225
411.5148, 149.4369
411.9969, 149.7491
412.4790, 150.3919
412.9611, 151.2264
413.4432, 151.8781
413.9254, 152.2644
414.4075, 152.6253
414.8896, 153.2727
415.3717, 154.0999
415.8538, 154.8518
416.3359, 155.3620
416.8181, 155.7653
417.3002, 156.1200
417.7823, 156.4387
418.2644, 156.8542
418.7465, 157.5700
419.2286, 158.3689
419.7108, 159.0162
420.1929, 159.2224
420.6750, 159.5851
421.1571, 160.5151
421.6392, 161.7909
422.1213, 162.8159
422.6035, 163.1594
423.0856, 163.4510
423.5677, 163.9843
424.0498, 164.8819
424.5319, 165.6504
425.0140, 166.0505
425.4962, 166.4112
425.9783, 167.0696
426.4604, 168.2195
426.9425, 169.3899
427.4246, 170.5002
427.9067, 171.5786
428.3889, 172.7714
428.8710, 174.1915
429.3531, 175.5238
429.8352, 176.5589
430.3173, 177.1928
430.7994, 177.9830
431.2816, 178.9565
431.7637, 180.0614
432.2458, 181.2025
432.7279, 182.3764
433.2100, 183.6082
433.6921, 184.9401
434.1743, 186.3332
434.6564, 187.6342
435.1385, 188.8600
435.6206, 189.9727
436.1027, 190.8894
436.5848, 191.6703
437.0670, 192.5114
437.5491, 193.5136
438.0312, 194.4352
438.5133, 194.8278
438.9954, 194.9024
439.4775, 195.2416
439.9597, 196.4461
440.4418, 197.8627
440.9239, 198.9165
441.4060, 199.5759
441.8881, 200.0888
442.3702, 200.3292
442.8524, 200.6083
443.3345, 201.2389
443.8166, 202.7735
444.2987, 204.1161
444.7808, 204.7651
445.2629, 204.9414
445.7451, 205.2988
446.2272, 206.1187
446.7093, 206.9987
447.1914, 207.7926
447.6735, 208.4789
448.1556, 209.1287
448.6378, 209.7776
449.1199, 210.3587
449.6020, 210.7809
450.0841, 210.9024
450.5662, 211.1633
451.0483, 211.7299
451.5305, 212.4847
452.0126, 212.8900
452.4947, 212.9144
452.9768, 212.6968
453.4589, 212.2104
453.9410, 211.4392
454.4232, 210.9200
454.9053, 210.6921
455.3874, 210.5950
455.8695, 210.5245
456.3516, 210.4447
456.8337, 210.0877
457.3159, 209.2119
457.7980, 208.1332
458.2801, 207.4536
458.7622, 207.1279
459.2443, 206.8118
459.7264, 206.2182
460.2086, 205.5219
460.6907, 204.9885
461.1728, 204.6979
461.6549, 204.3904
462.1370, 203.8988
462.6191, 203.2758
463.1013, 202.6074
463.5834, 202.0072
464.0655, 201.2912
464.5476, 200.3276
465.0297, 199.1469
465.5118, 197.9750
465.9940, 196.7854
466.4761, 195.7023
466.9582, 194.8072
467.4403, 194.1862
467.9224, 193.5898
468.4045, 193.0073
468.8867, 192.4487
469.3688, 191.9270
469.8509, 191.5007
470.3330, 191.0168
470.8151, 190.3903
471.2972, 189.6536
471.7794, 189.1905
472.2615, 189.1135
472.7436, 188.9966
473.2257, 188.4991
473.7078, 187.6116
474.1899, 186.7608
474.6721, 185.9507
