##NAMES=Eckermannite
##RRUFFID=R060320
##IDEAL CHEMISTRY=NaNa_2_(Mg_4_Al)Si_8_O_22_(OH)_2_
##LOCALITY=Norra Karr Complex, near Granna, Ostergotsland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Parallel aggregate of blue elongated bladed crystals
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060320
##MEASURED CHEMISTRY=(Na_2.50_K_0.30_[box]_0.20_)_Σ=3_(Mg_2.35_Fe^2+^_1.35_Al_1.20_Mn_0.10_)_Σ=5_Si_8.00_O_22_((OH)_1.18_F_0.82_)_Σ=2_; OH estimated by charge balance, dark material
##PIN_ID=M01619
##ORIENTATION=Laser parallel to b* (0 1 0). Fiducial mark perpendicular to laser is parallel to -c [0 0 -1]
592.0730, 23076.00
593.2410, 23085.00
594.4100, 22799.00
595.5790, 22738.00
596.7470, 22627.00
597.9150, 22328.00
599.0840, 22005.00
600.2510, 21897.00
601.4190, 21794.00
602.5870, 21697.00
603.7540, 21491.00
604.9220, 21221.00
606.0890, 21195.00
607.2560, 20970.00
608.4230, 20851.00
609.5890, 20744.03
610.7560, 20659.00
611.9220, 20519.00
613.0880, 20260.00
614.2540, 20164.00
615.4200, 20098.77
616.5860, 20270.00
617.7520, 20060.00
618.9170, 20141.00
620.0820, 20133.00
621.2480, 19888.00
622.4120, 19978.00
623.5770, 19934.00
624.7420, 20140.00
625.9060, 20148.00
627.0710, 20136.00
628.2350, 20094.00
629.3990, 20183.00
630.5630, 20359.00
631.7260, 20443.00
632.8900, 20470.83
634.0530, 20512.14
635.2170, 20470.00
636.3800, 20504.00
637.5430, 20487.00
638.7050, 20532.00
639.8680, 20621.92
641.0300, 20988.50
642.1930, 21237.26
643.3550, 21374.38
644.5170, 21065.80
645.6790, 21332.74
646.8400, 21368.96
648.0020, 21395.80
649.1630, 21743.67
650.3240, 21499.82
651.4850, 21842.59
652.6460, 21951.20
653.8070, 22141.00
654.9670, 22252.00
656.1280, 22503.00
657.2880, 22496.00
658.4480, 22574.00
659.6080, 22625.00
660.7680, 22931.00
661.9270, 23224.00
663.0870, 23515.00
664.2460, 23788.00
665.4050, 24110.00
666.5640, 24464.00
667.7230, 24869.00
668.8820, 25603.00
670.0400, 26077.00
671.1990, 27159.00
672.3570, 27962.00
673.5150, 29220.00
674.6730, 30495.00
675.8310, 32128.00
676.9880, 34448.00
678.1450, 37105.00
679.3030, 40651.00
680.4600, 44399.00
681.6170, 49365.00
682.7740, 54859.00
683.9300, 61240.00
685.0870, 68379.00
686.2430, 76154.00
687.3990, 83403.00
688.5550, 89608.00
689.7110, 93785.00
690.8670, 94520.00
692.0220, 91299.00
693.1770, 85435.00
694.3330, 77538.00
695.4880, 69317.00
696.6430, 61267.00
697.7970, 53890.00
698.9520, 48314.00
700.1060, 43372.00
701.2600, 39782.00
702.4150, 36926.00
703.5690, 34703.00
704.7220, 32967.00
705.8760, 31601.00
707.0290, 30582.00
708.1830, 30050.00
709.3360, 29545.00
710.4890, 29176.32
711.6420, 28939.00
712.7940, 28673.93
713.9470, 28644.00
715.0990, 28450.00
716.2510, 28496.00
717.4030, 28598.00
718.5550, 28327.00
719.7070, 28255.00
720.8590, 28153.00
722.0100, 27949.00
723.1610, 27554.00
724.3120, 27069.00
725.4630, 26498.00
726.6140, 25956.00
727.7650, 25164.00
728.9150, 24709.00
730.0650, 24319.00
731.2160, 23745.00
732.3660, 23486.00
733.5150, 22938.00
734.6650, 22917.00
735.8150, 22787.00
736.9640, 22405.00
738.1130, 22432.00
739.2620, 22424.00
740.4110, 22326.00
741.5600, 22334.00
742.7080, 22371.00
743.8570, 22232.00
745.0050, 22394.00
746.1530, 22695.00
747.3010, 22718.00
748.4490, 22965.00
749.5960, 22912.00
750.7440, 22856.00
751.8910, 23120.00
753.0380, 23011.00
754.1850, 23233.00
755.3320, 23281.00
756.4790, 23296.00
757.6250, 23580.00
758.7720, 23706.00
759.9180, 23571.00
761.0640, 23695.00
762.2100, 23605.38
763.3550, 23613.00
764.5010, 23458.00
765.6460, 23229.00
766.7920, 23148.00
767.9370, 22875.00
769.0820, 22765.00
770.2260, 22391.00
771.3710, 22344.00
772.5150, 22146.00
773.6600, 22061.00
774.8040, 21812.00
775.9480, 21723.00
777.0910, 21607.00
778.2350, 21476.00
779.3790, 21441.00
780.5220, 21322.00
781.6650, 21160.00
782.8080, 21189.00
783.9510, 21107.00
785.0940, 21008.00
786.2360, 21002.00
787.3790, 20937.48
788.5210, 20962.79
789.6630, 20852.00
790.8050, 21015.00
791.9470, 20940.08
793.0880, 20903.00
794.2300, 21010.00
795.3710, 20812.00
796.5120, 20856.00
797.6530, 20828.00
798.7940, 20915.00
799.9340, 20871.00
801.0750, 21044.00
802.2150, 21013.00
803.3550, 21074.70
804.4950, 21084.00
805.6350, 21111.00
806.7750, 21269.00
807.9140, 21184.00
809.0540, 21150.00
810.1930, 21264.00
811.3320, 21378.00
812.4710, 21512.00
813.6100, 21533.82
814.7480, 21573.41
815.8870, 21575.00
817.0250, 21539.00
818.1630, 21568.00
819.3010, 21511.00
820.4390, 21517.56
821.5760, 21546.43
822.7140, 21534.00
823.8510, 21540.00
824.9880, 21612.00
826.1250, 21645.83
827.2620, 21719.00
828.3990, 21770.00
829.5350, 21754.00
830.6710, 21784.00
831.8080, 21884.00
832.9440, 22123.00
834.0800, 21860.00
835.2150, 21957.00
836.3510, 22213.00
837.4860, 22196.00
838.6210, 22425.00
839.7560, 22518.00
840.8910, 22593.00
842.0260, 22720.00
843.1610, 22741.00
844.2950, 22645.00
845.4290, 22714.00
846.5640, 22781.00
847.6980, 22852.25
848.8310, 22863.00
849.9650, 23153.00
851.0980, 23201.00
852.2320, 23450.00
853.3650, 23185.00
854.4980, 23410.00
855.6310, 23367.00
856.7630, 23237.00
857.8960, 23688.00
859.0280, 23516.00
860.1610, 23633.00
861.2930, 23593.00
862.4240, 23768.00
863.5560, 23756.00
864.6880, 23646.00
865.8190, 23669.00
866.9500, 23750.00
868.0820, 23993.00
869.2120, 23955.00
870.3430, 24047.00
871.4740, 24139.00
872.6040, 23914.00
873.7350, 24173.00
874.8650, 24483.00
875.9950, 24338.00
877.1250, 24613.00
878.2540, 24389.00
879.3840, 24874.00
880.5130, 24850.00
881.6420, 25136.00
882.7710, 25316.00
883.9000, 25695.00
885.0290, 25774.00
886.1570, 26390.00
887.2860, 26540.62
888.4140, 27443.00
889.5420, 27165.00
890.6700, 27394.00
891.7980, 27934.00
892.9250, 28624.00
894.0530, 28841.00
895.1800, 29625.00
896.3070, 29891.00
897.4340, 30579.00
898.5610, 31008.81
899.6870, 31504.00
900.8140, 31976.00
901.9400, 32496.00
903.0660, 32819.70
904.1920, 33385.00
905.3180, 33472.00
906.4440, 33988.00
907.5690, 34379.00
908.6950, 34555.00
909.8200, 34761.00
910.9450, 35281.00
912.0700, 35343.00
913.1940, 35766.00
914.3190, 35831.00
915.4430, 36043.00
916.5680, 36233.00
917.6920, 36219.00
918.8150, 36139.07
919.9390, 36055.23
921.0630, 35687.00
922.1860, 35594.00
923.3100, 35252.00
924.4330, 34813.00
925.5560, 34539.00
926.6780, 34035.00
927.8010, 33464.00
928.9230, 32975.00
930.0460, 32334.00
931.1680, 31887.00
932.2900, 31411.00
933.4120, 30875.00
934.5330, 30126.00
935.6550, 29818.00
936.7760, 29305.00
937.8970, 29072.00
939.0180, 28840.00
940.1390, 28454.00
941.2600, 28443.00
942.3810, 27996.00
943.5010, 27973.00
944.6210, 27704.00
945.7410, 27744.00
946.8610, 27878.00
947.9810, 27929.00
949.1010, 27982.00
950.2200, 28492.00
951.3390, 28348.00
952.4580, 29040.00
953.5770, 29332.00
954.6960, 29825.00
955.8150, 30224.00
956.9330, 30425.00
958.0520, 30942.00
959.1700, 31837.00
960.2880, 32453.00
961.4050, 33388.00
962.5230, 34166.00
963.6410, 35163.00
964.7580, 35658.00
965.8750, 36541.00
966.9920, 37245.00
968.1090, 37601.00
969.2260, 37535.00
970.3420, 37403.00
971.4590, 37046.00
972.5750, 36343.00
973.6910, 36011.00
974.8070, 35266.00
975.9230, 34772.00
977.0380, 34481.00
978.1540, 33874.00
979.2690, 33786.00
980.3840, 33445.00
981.4990, 33743.00
982.6140, 33606.00
983.7280, 33627.00
984.8430, 33643.00
985.9570, 33969.00
987.0710, 34319.00
988.1850, 34441.00
989.2990, 34802.00
990.4130, 35503.00
991.5260, 35663.00
992.6400, 36410.00
993.7530, 36902.00
994.8660, 37476.00
995.9790, 38134.00
997.0910, 38171.00
998.2040, 38879.00
999.3160, 39182.00
1000.429, 39692.00
1001.541, 39740.00
1002.652, 39978.00
1003.764, 39580.00
1004.876, 39155.00
1005.987, 38550.00
1007.098, 37996.00
1008.210, 37601.00
1009.320, 36505.00
1010.431, 36123.00
1011.542, 35598.10
1012.652, 35086.00
1013.763, 34759.00
1014.873, 34548.00
1015.983, 34157.00
1017.093, 34267.00
1018.202, 33890.00
1019.312, 33441.00
1020.421, 33283.00
1021.530, 32811.00
1022.639, 32329.00
1023.748, 32292.00
1024.857, 31753.00
1025.965, 31677.00
1027.074, 31293.00
1028.182, 31168.00
1029.290, 30950.81
1030.398, 30809.00
1031.505, 30482.00
1032.613, 30319.00
1033.720, 29953.00
1034.828, 29948.00
1035.935, 29701.00
1037.042, 29833.00
1038.148, 30021.00
1039.255, 29890.00
1040.361, 29828.00
1041.468, 29769.00
1042.574, 30070.00
1043.680, 29759.00
1044.786, 30161.00
1045.891, 30042.00
1046.997, 29906.00
1048.102, 30052.00
1049.207, 30158.00
1050.312, 29938.00
1051.417, 29895.00
1052.522, 29984.00
1053.626, 29578.00
1054.730, 29729.00
1055.835, 29701.00
1056.939, 29549.00
1058.043, 29622.00
1059.146, 29336.00
1060.250, 29521.00
1061.353, 29469.00
1062.456, 29674.00
1063.559, 29586.00
1064.662, 29673.00
1065.765, 29784.00
1066.868, 30180.00
1067.970, 30226.00
1069.072, 30359.00
1070.174, 30708.00
1071.276, 31384.00
1072.378, 31333.00
1073.480, 32058.00
1074.581, 32750.00
1075.682, 33178.00
1076.784, 33945.00
1077.885, 34771.13
1078.985, 35851.00
1080.086, 36736.00
1081.187, 38058.00
1082.287, 39368.00
1083.387, 40345.00
1084.487, 41767.00
1085.587, 43095.00
1086.687, 44438.00
1087.786, 44692.00
1088.885, 44430.00
1089.985, 44073.00
1091.084, 42642.00
1092.182, 41306.00
1093.281, 39448.00
1094.380, 37623.00
1095.478, 35885.00
1096.576, 35061.00
1097.674, 34056.00
1098.772, 33307.00
1099.870, 32460.00
1100.968, 31971.00
1102.065, 31533.00
1103.162, 30890.00
1104.259, 30813.00
1105.356, 30312.00
1106.453, 30257.00
1107.550, 30084.00
1108.646, 30094.00
1109.743, 29954.00
1110.839, 29996.00
1111.935, 29981.00
1113.030, 29773.00
1114.126, 29915.00
1115.222, 30092.00
1116.317, 29968.00
1117.412, 30121.00
1118.507, 30127.00
1119.602, 30060.00
1120.697, 30272.00
1121.791, 29934.00
1122.885, 30331.00
1123.980, 30377.00
1125.074, 30470.00
1126.168, 30157.00
1127.261, 30279.00
1128.355, 29410.00
1129.448, 29542.00
1130.541, 29167.00
1131.635, 28905.00
1132.727, 28772.00
1133.820, 28653.00
1134.913, 28532.00
1136.005, 28488.00
1137.097, 28317.00
1138.190, 28359.00
1139.281, 28336.00
1140.373, 28194.00
1141.465, 28000.00
1142.556, 27822.00
1143.648, 27683.00
1144.739, 27507.00
1145.830, 27286.73
1146.921, 27108.94
1148.011, 26932.00
1149.102, 26720.00
1150.192, 26775.00
1151.282, 26655.00
1152.372, 26624.00
1153.462, 26398.00
1154.552, 26366.00
1155.641, 26283.00
1156.731, 26238.00
1157.820, 26326.00
1158.909, 26113.00
1159.998, 26443.00
1161.086, 25861.00
1162.175, 25584.00
1163.263, 25752.00
1164.351, 25571.00
1165.440, 25608.00
1166.527, 25413.00
1167.615, 25363.00
1168.703, 25340.00
1169.790, 25315.00
1170.877, 25214.00
1171.965, 25269.00
1173.051, 25208.80
1174.138, 25074.00
1175.225, 25091.00
1176.311, 25059.00
1177.398, 24844.00
1178.484, 24966.00
1179.570, 25139.00
1180.655, 24956.00
1181.741, 24874.00
1182.827, 24928.00
1183.912, 24928.00
1184.997, 24684.00
1186.082, 24866.00
1187.167, 25110.00
1188.251, 25157.00
1189.336, 24738.00
1190.420, 24936.00
1191.505, 24817.00
1192.589, 24896.00
1193.672, 24823.00
1194.756, 24774.00
1195.840, 24756.00
1196.923, 24580.00
1198.006, 24698.00
1199.089, 24713.00
1200.172, 24425.00
1201.255, 24488.00
1202.337, 24762.00
1203.420, 24763.00
1204.502, 24640.00
1205.584, 24500.00
1206.666, 24669.00
1207.748, 24846.00
1208.829, 24627.00
1209.911, 24640.00
1210.992, 24738.00
1212.073, 24599.00
1213.154, 24771.00
1214.235, 24606.00
1215.316, 24586.51
1216.396, 24893.93
1217.476, 25083.45
1218.556, 25161.41
1219.636, 24793.67
1220.716, 25001.46
1221.796, 24978.61
1222.875, 24946.26
1223.955, 25235.05
1225.034, 24932.10
1226.113, 25215.77
1227.192, 25265.27
1228.270, 25421.91
1229.349, 25346.51
1230.427, 25342.75
1231.505, 25267.00
1232.583, 25326.00
1233.661, 25205.00
1234.739, 25162.00
1235.817, 25088.00
1236.894, 24990.00
1237.971, 25092.00
1239.048, 25079.90
1240.125, 24995.40
1241.202, 25141.00
1242.278, 24958.00
1243.355, 24821.00
1244.431, 25076.00
1245.507, 25025.00
1246.583, 25080.00
1247.659, 25245.00
1248.734, 24972.00
1249.810, 25055.00
1250.885, 25065.00
1251.960, 25103.00
1253.035, 25304.00
1254.110, 25108.00
1255.185, 24996.00
1256.259, 25111.00
1257.333, 25375.00
1258.408, 25203.00
1259.482, 25164.00
1260.555, 25022.00
1261.629, 25159.00
1262.702, 24989.00
1263.776, 25154.00
1264.849, 25163.00
1265.922, 25365.00
1266.995, 25131.00
1268.068, 25277.00
1269.140, 25495.00
1270.212, 25157.00
1271.285, 25349.00
1272.357, 25258.00
1273.428, 25236.26
1274.500, 25356.00
1275.572, 25407.00
1276.643, 25373.00
1277.714, 25406.52
1278.785, 25560.00
1279.856, 25359.00
1280.927, 25512.00
1281.998, 25500.00
1283.068, 25753.00
1284.138, 25908.00
1285.208, 25694.00
1286.278, 25735.00
1287.348, 25993.00
1288.418, 25933.00
1289.487, 26062.00
1290.556, 25706.00
1291.625, 25811.00
1292.694, 25882.00
1293.763, 25975.00
1294.832, 26055.00
1295.900, 26157.00
1296.969, 26183.33
1298.037, 26179.00
1299.105, 26194.00
1300.172, 26085.00
1301.240, 26002.00
1302.308, 26103.00
1303.375, 25979.00
1304.442, 25857.00
1305.509, 26033.00
1306.576, 26077.00
1307.643, 25999.00
1308.709, 25807.00
1309.775, 25842.00
1310.842, 25985.00
1311.908, 25974.00
1312.974, 26031.00
1314.039, 26025.00
1315.105, 25961.00
1316.170, 25919.00
1317.235, 25989.00
1318.300, 25871.17
1319.365, 25930.94
1320.430, 25707.00
1321.495, 25923.00
1322.559, 25851.00
1323.623, 25709.00
1324.687, 25879.00
1325.751, 25821.00
1326.815, 25836.00
1327.879, 25975.00
1328.942, 25677.00
1330.005, 25633.00
1331.068, 25948.00
1332.131, 25732.00
1333.194, 25991.00
1334.257, 25897.00
1335.319, 25931.00
1336.381, 25652.00
1337.444, 25859.00
1338.505, 25826.00
1339.567, 25987.00
1340.629, 25977.67
1341.690, 25856.00
1342.752, 25923.00
1343.813, 25958.00
1344.874, 25880.00
1345.935, 26030.00
1346.995, 25914.00
1348.056, 26345.00
1349.116, 26166.00
1350.176, 26078.00
1351.236, 25846.00
1352.296, 25919.00
1353.356, 25926.00
1354.415, 25912.00
1355.475, 25999.00
1356.534, 25950.00
1357.593, 25902.00
1358.652, 25877.00
1359.711, 25872.83
1360.769, 25832.00
1361.827, 25876.00
1362.886, 25951.00
1363.944, 25921.00
1365.002, 26020.00
1366.059, 26051.00
1367.117, 26110.00
1368.174, 26091.76
1369.232, 26080.58
1370.289, 26010.00
1371.346, 26003.00
1372.402, 25947.00
1373.459, 25909.00
1374.515, 25816.00
1375.572, 26014.00
1376.628, 26114.00
1377.684, 26095.00
1378.740, 26063.00
1379.795, 25995.00
1380.851, 26123.00
1381.906, 25941.00
1382.961, 26023.00
1384.016, 26053.00
1385.071, 26315.00
1386.125, 25971.00
1387.180, 26208.00
1388.234, 26074.00
1389.288, 26120.00
1390.342, 26278.00
1391.396, 26255.00
1392.450, 25896.00
1393.503, 26204.00
1394.557, 26032.00
1395.610, 26046.45
1396.663, 26071.00
1397.716, 26200.00
1398.768, 26158.04
1399.821, 26054.00
1400.873, 26085.00
1401.925, 26174.00
1402.978, 26025.00
1404.029, 26037.00
1405.081, 26276.00
1406.133, 26346.00
1407.184, 26245.00
1408.235, 26214.00
1409.286, 26234.73
1410.337, 26324.00
1411.388, 26223.00
1412.439, 26259.00
1413.489, 26209.00
1414.539, 26244.00
1415.589, 26271.00
1416.639, 26500.00
1417.689, 26613.00
1418.738, 26474.00
1419.788, 26263.00
1420.837, 26355.00
1421.886, 26644.00
1422.935, 26427.00
1423.984, 26487.00
1425.033, 26733.00
1426.081, 26580.00
1427.129, 26793.00
1428.177, 26948.00
1429.225, 27163.00
1430.273, 27259.00
1431.321, 27338.96
1432.368, 27143.00
1433.416, 27400.00
1434.463, 27417.00
1435.510, 27410.00
1436.557, 27523.00
1437.603, 27659.00
1438.650, 27850.00
1439.696, 27951.00
1440.742, 28013.75
1441.788, 27879.00
1442.834, 28052.00
1443.880, 27990.00
1444.925, 27948.00
1445.971, 28054.00
1447.016, 28114.00
1448.061, 28102.10
1449.106, 27881.00
1450.150, 28115.00
1451.195, 27972.00
1452.239, 27970.00
1453.284, 28016.00
1454.328, 28225.00
1455.371, 27880.00
1456.415, 27994.00
1457.459, 28088.00
1458.502, 27987.00
1459.545, 27869.00
1460.588, 27992.00
1461.631, 27775.00
1462.674, 27696.00
1463.717, 27774.00
1464.759, 27674.00
1465.801, 27684.00
1466.843, 27653.00
1467.885, 27476.00
1468.927, 27640.00
1469.969, 27570.00
1471.010, 27472.00
1472.051, 27573.00
1473.093, 27345.00
1474.134, 27234.00
1475.174, 27297.00
1476.215, 27314.00
1477.255, 27274.00
1478.296, 27221.00
1479.336, 27496.00
1480.376, 27342.00
1481.416, 27371.00
1482.455, 27108.00
1483.495, 27208.00
1484.534, 27276.00
1485.573, 27296.00
1486.612, 27203.00
1487.651, 27246.00
1488.690, 27218.21
1489.728, 27004.00
