##NAMES=Eckermannite
##RRUFFID=R060320
##IDEAL CHEMISTRY=NaNa_2_(Mg_4_Al)Si_8_O_22_(OH)_2_
##LOCALITY=Norra Karr Complex, near Granna, Ostergotsland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Parallel aggregate of blue elongated bladed crystals
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060320
##MEASURED CHEMISTRY=(Na_2.50_K_0.30_[box]_0.20_)_Σ=3_(Mg_2.35_Fe^2+^_1.35_Al_1.20_Mn_0.10_)_Σ=5_Si_8.00_O_22_((OH)_1.18_F_0.82_)_Σ=2_; OH estimated by charge balance, dark material
##PIN_ID=M00815
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to b [0 1 0]
540.4870, 12362.62
541.6630, 13353.64
542.8380, 14335.56
544.0140, 15462.39
545.1890, 16635.14
546.3640, 17620.78
547.5390, 19078.33
548.7140, 19973.79
549.8890, 21227.16
551.0630, 22092.45
552.2380, 22546.66
553.4120, 22739.82
554.5860, 22855.92
555.7600, 22666.05
556.9330, 22714.18
558.1070, 21581.23
559.2800, 21194.26
560.4540, 19696.32
561.6270, 18286.44
562.8000, 17225.70
563.9730, 15911.12
565.1450, 14647.68
566.3180, 13156.36
567.4900, 12290.17
568.6620, 11452.16
569.8340, 10241.30
571.0060, 9581.578
572.1780, 8744.963
573.3490, 7994.447
574.5210, 7606.080
575.6920, 7028.014
576.8630, 6926.762
578.0340, 6320.828
579.2050, 6108.012
580.3750, 5940.305
581.5460, 5474.660
582.7160, 5336.051
583.8860, 4826.418
585.0560, 4828.727
586.2260, 4612.449
587.3960, 4623.137
588.5650, 4156.828
589.7340, 4378.475
590.9040, 3847.209
592.0730, 3803.701
593.2410, 3738.623
594.4100, 3515.773
595.5790, 3354.109
596.7470, 3119.578
597.9150, 2921.889
599.0840, 2913.787
600.2510, 2715.945
601.4190, 2556.918
602.5870, 2511.414
603.7540, 2352.832
604.9220, 2345.445
606.0890, 2196.756
607.2560, 1966.338
608.4230, 1650.641
609.5890, 1365.076
610.7560, 1105.064
611.9220, 636.4141
613.0880, 480.6484
614.2540, 252.6094
615.4200, 85.59766
616.5860, 18.43750
617.7520, 136.9043
618.9170, 198.5098
620.0820, 378.4121
621.2480, 313.7070
622.4120, 354.3613
623.5770, 397.3945
624.7420, 199.8262
625.9060, 400.5547
627.0710, 633.6777
628.2350, 366.3203
629.3990, 322.3457
630.5630, 284.7305
631.7260, 326.4531
632.8900, 281.4492
634.0530, 315.8223
635.2170, 155.7402
636.3800, 336.7949
637.5430, 83.21484
638.7050, 4.121094
639.8680, 147.7383
641.0300, 156.1289
642.1930, 139.8555
643.3550, 288.4434
644.5170, 436.9082
645.6790, 595.2617
646.8400, 572.5098
648.0020, 690.6504
649.1630, 856.6914
650.3240, 995.6367
651.4850, 1187.494
652.6460, 1242.631
653.8070, 1317.213
654.9670, 1356.545
656.1280, 1536.059
657.2880, 1611.486
658.4480, 1852.922
659.6080, 2164.090
660.7680, 2371.266
661.9270, 2814.359
663.0870, 3096.367
664.2460, 3781.688
665.4050, 4183.441
666.5640, 4634.385
667.7230, 5310.066
668.8820, 5830.451
670.0400, 6656.525
671.1990, 7633.949
672.3570, 8656.293
673.5150, 10309.13
674.6730, 12149.30
675.8310, 14333.40
676.9880, 16724.41
678.1450, 20425.34
679.3030, 24710.18
680.4600, 30116.95
681.6170, 36196.62
682.7740, 43634.23
683.9300, 52055.75
685.0870, 60970.20
686.2430, 69361.55
687.3990, 77169.84
688.5550, 82181.05
689.7110, 83464.16
690.8670, 81435.21
