"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","Structural Groupname"
"Allanite-(La)","Allanite-(La)","CaLa(Al2Fe2+)[Si2O7][SiO4]O(OH)","Epidote"
"Allanite-(Nd)","Allanite-(Nd)","CaNd(Al2Fe2+)[Si2O7][SiO4]O(OH)","Epidote"
"Allanite-(Y)","Allanite-(Y)","CaY(Al2Fe2+)[Si2O7][SiO4]O(OH)","Epidote"
"Allanpringite","Allanpringite","Fe3+3(PO4)2(OH)3·5H2O","Wavellite"
"Allantoin","Allantoin","C4H6N4O3"," "
"Allargentum","Allargentum","Ag1-xSbx (x ≈ 0.09-0.16)","Allargentum"
"Alleghanyite","Alleghanyite","Mn2+5(SiO4)2(OH)2","Humite"
"Allendeite","Allendeite","Sc4Zr3O12"," "
"Allochalcoselite","Allochalcoselite","Cu1+Cu2+5PbO2(SeO3)2Cl5"," "
"Alloclasite","Alloclasite","CoAsS","Löllingite"
"Allophane","Allophane","Al2O3(SiO2)1.3-2.0·2.5-3.0H2O","Allophane"
"Alloriite","Alloriite","(Na,K,Ca)24(Na,Ca)4Ca4(Si,Al)48O96(SO4)4(SO3,CO3)2(OH,Cl)2(H2O,OH)4","Cancrinite"
"Alluaivite","Alluaivite","Na19(Ca,Mn2+)6(Ti,Nb)3Si26O74Cl·2H2O","Eudialyte"
"Alluaudite","Alluaudite","[box]NaMnFe3+2(PO4)3","Alluaudite"
"Almandine","Almandine","Fe2+3Al2(SiO4)3","Garnet"
"Almarudite","Almarudite","K([box],Na)2(Mn,Fe,Mg)2[(Be,Al)3Si12]O30","Milarite"
"Almeidaite","Almeidaite","PbZn2(Mn,Y)(Ti,Fe3+)18O36(OH,O)2","Crichtonite"
"Alnaperbøeite-(Ce)","Alnaperboeite-(Ce)","(CaCe2.5Na0.5)(Al4)(Si2O7)(SiO4)3O(OH)2","Gatelite"
"Alpeite","Alpeite","Ca4Mn3+2Al2(Mn3+Mg)(SiO4)2(Si3O10)(VO4)(OH)6","Ardennite"
"Alpersite","Alpersite","Mg(SO4)·7H2O","Melanterite"
"Alsakharovite-Zn","Alsakharovite-Zn","NaSrKZn(Ti,Nb)4(Si4O12)2(O,OH)4·7H2O","Labuntsovite"
"Alstonite","Alstonite","BaCa(CO3)2","Alstonite"
"Altaite","Altaite","PbTe","Rocksalt"
"Alterite","Alterite","Zn2Fe3+4(SO4)4(C2O4)2(OH)4·17H2O","Oxalate"
"Althausite","Althausite","Mg4(PO4)2(OH,O)(F,[box])"," "
"Althupite","Althupite","AlTh(UO2)7(PO4)4O2(OH)5·15H2O"," "
"Altisite","Altisite","Na3K6Ti2Al2Si8O26Cl3","Lemoynite"
"Aluminite","Aluminite","Al2(SO4)(OH)4·7H2O","Aluminite"
"Aluminium","Aluminium","Al","Copper"
"Aluminoceladonite","Aluminoceladonite","K(Mg,Fe2+)Al(Si4O10)(OH)2","Mica"
"Aluminocerite-(Ce)","Aluminocerite-(Ce)","(Ce,REE,Ca)9(Al,Fe3+)(SiO4)3[SiO3(OH)]4(OH)3","Cerite"
"Aluminocopiapite","Aluminocopiapite","(Al,Mg)Fe3+4(SO4)6(OH,O)2·20H2O","Copiapite"
"Aluminocoquimbite","Aluminocoquimbite","Al2Fe2(SO4)6(H2O)12·9H2O","Coquimbite"
"Aluminomagnesiohulsite","Aluminomagnesiohulsite","Mg2AlO2(BO3)","Hulsite"
"Alumino-oxy-rossmanite","Alumino-oxy-rossmanite","Al3Al6(Si5AlO18)(BO3)3(OH)3O","Tourmaline"
"Aluminopyracmonite","Aluminopyracmonite","(NH4)3Al(SO4)3","Pyracmonite"
"Aluminosugilite","Aluminosugilite","KNa2Al2Li3Si12O30","Milarite"
"Alum-(K)","Alum-(K)","KAl(SO4)2·12H2O","Alum"
"Alum-(Na)","Alum-(Na)","NaAl(SO4)2·12H2O","Alum"
"Alumoåkermanite","Alumoakermanite","(Ca,Na)2(Al,Mg,Fe2+)(Si2O7)","Melilite"
"Alumoedtollite","Alumoedtollite","K2NaCu5AlO2(AsO4)4","Edtollite"
"Alumohydrocalcite","Alumohydrocalcite","CaAl2(CO3)2(OH)4·4H2O","Alumohydrocalcite"
"Alumoklyuchevskite","Alumoklyuchevskite","K3Cu2+3AlO2(SO4)4","Klyuchevskite"
"Alumotantite","Alumotantite","AlTaO4"," "
"Alumovesuvianite","Alumovesuvianite","Ca19Al(Al10Mg2)Si18O69(OH)9","Vesuvianite"
"Alunite","Alunite","KAl3(SO4)2(OH)6","Alunite-Alunite"
"Alunogen","Alunogen","Al2(SO4)3(H2O)12·5H2O"," "
"Alvanite","Alvanite","Zn2+Al4(V5+O3)2(OH)12·2H2O","Chalcoalumite"
"Alwilkinsite-(Y)","Alwilkinsite-(Y)","Y(UO2)3(SO4)2O(OH)3(H2O)7·7H2O"," "
"Amakinite","Amakinite","Fe(OH)2","Brucite"
"Amamoorite","Amamoorite","CaMn2+2Mn3+(Si2O7)O(OH)","Ilvaite"
"Amarantite","Amarantite","Fe3+2O(SO4)2·7H2O","Amarantite"
"Amarillite","Amarillite","NaFe3+(SO4)2·6H2O","Tamarugite"
"Amblygonite","Amblygonite","LiAl(PO4)F","Titanite-Amblygonite"
"Ambrinoite","Ambrinoite","[K,(NH4)]2(As,Sb)6(Sb,As)2S13·H2O"," "
"Ameghinite","Ameghinite","NaB3O3(OH)4"," "
"Amesite","Amesite","Mg2Al(AlSiO5)(OH)4","Serpentine"
"Amicite","Amicite","K2Na2(Al4Si4O16)·5H2O","Gismondine"
"Aminoffite","Aminoffite","Ca3(BeOH)2Si3O10"," "
"Ammineite","Ammineite","CuCl2·2NH3"," "
"Ammonioalunite","Ammonioalunite","(NH4)Al3(SO4)2(OH)6","Alunite-Alunite"
"Ammonioborite","Ammonioborite","(NH4)3B15O20(OH)8·4H2O"," "
"Ammoniojarosite","Ammoniojarosite","(NH4)Fe3+3(SO4)2(OH)6","Alunite-Alunite"
"Ammoniolasalite","Ammoniolasalite","[(NH4)2Mg2(H2O)20]·[V10O28]","Lasalite"
"Ammonioleucite","Ammonioleucite","(NH4)(AlSi2O6)","Analcime"
"Ammoniomagnesiovoltaite","Ammoniomagnesiovoltaite","(NH4)2Mg5Fe3+3Al(SO4)12·18H2O","Voltaite"
"Ammoniomathesiusite","Ammoniomathesiusite","(NH4)5(UO2)4(SO4)4(VO5)·4H2O","Mathesiusite"
"Ammoniotinsleyite","Ammoniotinsleyite","(NH4)Al2(PO4)2(OH)·2H2O","Leucophosphite"
"Ammoniovoltaite","Ammoniovoltaite","(NH4)2Fe2+5Fe3+3Al(SO4)12(H2O)18","Voltaite"
"Ammoniozippeite","Ammoniozippeite","(NH4)2[(UO2)2(SO4)O2]·H2O","Zippeite"
"Amstallite","Amstallite","CaAl[(Al,Si)4O8(OH)2](OH)2·(H2O,Cl)"," "
"Analcime","Analcime","Na(AlSi2O6)·H2O","Analcime"
"Anandite","Anandite","BaFe2+3(Si3Fe3+)O10S(OH)","Clay"
"Anapaite","Anapaite","Ca2Fe2+(PO4)2·4H2O"," "
